bbl_key,date,any730,any365,placebo365,fully_cold
4060760048,2024-10-28,0,0,0,1
4123730154,2025-04-18,0,0,0,1
4106750008,2025-07-07,1,1,1,0
4106050005,2025-04-09,1,1,1,0
2038610166,2024-06-17,1,1,1,0
3066820019,2025-07-23,0,0,0,1
3045060026,2025-08-06,0,0,0,1
4038740071,2024-01-12,1,0,0,0
2026420051,2025-03-21,0,0,1,1
4018850033,2024-03-05,0,0,0,1
2045230027,2024-05-06,1,0,0,0
4121420017,2024-08-05,1,0,1,0
4124710006,2024-05-23,0,0,0,1
4023060014,2025-09-16,1,0,1,0
3020060160,2025-06-24,1,1,1,0
2047910045,2024-04-22,1,0,1,0
2037920007,2025-07-28,1,1,0,0
4037230063,2024-08-29,1,1,1,0
2031850011,2025-02-10,0,0,0,1
4052220035,2024-01-24,0,0,0,1
4019810016,2025-06-09,1,0,1,0
3058980037,2024-04-24,1,1,1,0
4099130056,2025-02-05,1,1,1,0
4037820006,2024-07-05,1,1,0,0
4128250068,2025-12-11,1,0,1,0
4030280085,2024-04-29,1,1,1,0
2024010017,2025-07-15,1,1,0,0
4017760047,2024-10-31,1,0,1,0
5028400082,2025-04-09,0,0,0,1
3062480025,2024-04-22,1,1,1,0
4094540018,2024-04-17,1,1,0,0
3012370059,2026-01-30,1,1,1,0
2047430051,2025-05-07,1,1,1,0
3051370001,2024-06-14,1,1,1,0
4008890080,2025-08-15,1,1,0,0
4007860050,2024-04-01,1,1,1,0
2046370019,2025-03-09,0,0,0,1
3039760063,2025-10-23,1,0,0,0
4010980050,2024-05-10,1,1,1,0
3053350026,2024-12-05,1,1,0,0
3055970032,2024-07-22,1,1,1,0
3016680011,2025-11-03,1,1,1,0
3065190063,2025-01-28,1,1,0,0
4018687501,2025-04-22,1,1,1,0
3041450021,2025-03-31,1,1,0,0
4054600067,2024-12-13,0,0,1,1
3018250066,2024-02-20,1,1,1,0
4044630007,2025-01-21,1,1,0,0
4071150244,2024-07-25,1,0,1,0
4046600050,2024-05-06,1,1,1,0
3074220642,2025-07-15,1,0,1,0
4102220001,2025-08-14,0,0,0,1
4121150032,2024-05-29,1,1,1,0
4102380009,2024-01-29,1,1,1,0
4126240011,2025-04-25,1,1,0,0
3027450012,2024-06-10,1,0,1,0
4131660043,2025-11-14,1,0,0,0
2025240011,2024-01-02,1,1,1,0
2030890067,2025-06-13,1,0,1,0
3082110015,2025-03-20,1,0,1,0
4089460033,2026-03-15,0,0,0,1
4018390046,2024-10-31,1,1,0,0
4110710002,2025-06-22,1,0,0,0
4121740028,2025-07-28,1,1,0,0
3064610292,2024-12-03,0,0,0,1
2030890064,2025-10-23,1,1,1,0
4102350334,2024-08-06,1,1,0,0
4092690002,2025-09-25,0,0,0,1
3016400023,2025-10-03,1,1,0,0
3022340054,2024-04-29,1,1,0,0
4115140001,2024-04-05,1,0,0,0
4115950030,2025-05-02,1,1,1,0
3010430029,2024-07-22,1,1,0,0
4051710030,2025-03-18,0,0,0,1
4029080021,2025-07-24,1,1,1,0
4104040048,2025-11-20,1,0,1,0
4118810034,2024-04-04,1,1,1,0
4010890010,2024-05-24,1,0,1,0
4066660053,2024-05-03,1,1,0,0
4086730009,2026-01-20,1,1,1,0
1006190062,2024-06-24,1,1,0,0
5038710052,2024-07-10,1,1,0,0
4087860031,2024-03-07,1,0,0,0
3066620010,2024-12-06,0,0,0,1
3011770005,2024-02-22,1,0,1,0
3067420085,2025-07-03,1,1,1,0
3013570148,2025-06-16,1,0,1,0
4012300025,2026-02-19,1,0,0,0
4051320048,2025-01-22,1,1,1,0
2037360055,2025-09-18,1,1,1,0
5046550086,2024-02-29,0,0,0,1
4057660052,2024-05-07,0,0,0,1
3032950027,2025-03-21,1,1,1,0
3061610029,2024-01-31,1,0,1,0
3018150047,2025-06-11,1,1,1,0
4087110026,2025-11-19,0,0,0,1
3003450001,2025-04-01,1,1,0,0
2032630196,2025-03-17,1,1,1,0
3041320063,2025-11-28,1,1,1,0
5009510073,2025-02-25,0,0,1,1
4010860037,2024-12-02,0,0,0,1
3080370164,2024-09-19,0,0,0,1
2055000010,2024-03-08,0,0,0,1
2029950020,2026-03-09,0,0,1,1
4107650042,2024-04-18,0,0,0,1
4051220019,2025-12-12,1,1,1,0
5055970004,2025-12-05,1,1,0,0
1019050016,2025-09-17,1,1,1,0
4010980044,2024-05-10,0,0,0,1
3049440023,2024-08-21,1,1,1,0
3083810013,2024-07-18,1,0,1,0
3026000030,2025-09-08,1,1,0,0
4120050032,2025-03-02,1,1,1,0
4120870114,2024-02-29,0,0,1,1
3061620070,2024-01-31,0,0,0,1
4117780020,2024-11-08,1,1,0,0
5001340047,2026-01-31,1,1,1,0
3038550038,2025-06-11,1,1,1,0
3022130057,2025-12-19,1,0,0,0
2032630214,2026-03-12,1,1,0,0
4157590039,2025-10-30,0,0,1,1
3022190063,2024-10-11,0,0,0,1
4089210033,2024-11-18,0,0,1,1
4018550027,2025-08-18,1,1,1,0
4106350023,2025-06-26,1,1,0,0
4076480072,2024-10-04,1,0,1,0
2037000075,2024-11-13,1,1,0,0
4010950064,2024-12-17,1,1,0,0
4069800047,2025-11-13,0,0,0,1
4093140020,2025-12-02,1,0,0,0
3064640186,2025-07-09,1,1,1,0
5069060010,2024-03-01,0,0,0,1
4080650031,2025-07-31,0,0,1,1
3054590035,2025-12-21,1,1,0,0
4048340031,2024-05-01,1,0,0,0
4052350018,2024-02-05,0,0,0,1
5011520001,2024-07-29,1,1,0,0
4015400027,2024-12-04,0,0,0,1
3015190029,2025-01-08,0,0,0,1
2023520047,2025-07-07,1,0,0,0
4064080037,2025-01-22,1,1,1,0
3038740004,2025-11-13,0,0,0,1
4094730015,2024-09-11,0,0,0,1
4023050034,2024-04-03,1,1,0,0
4126900002,2025-04-20,0,0,0,1
2050820061,2025-12-09,1,1,0,0
4094080033,2025-03-25,1,1,1,0
5040490042,2025-10-09,0,0,0,1
4070700031,2025-06-30,0,0,0,1
4155490200,2024-05-03,1,0,1,0
4110420016,2025-11-20,1,0,0,0
4124730002,2025-04-29,1,1,0,0
2022870112,2026-02-25,1,1,1,0
4155490200,2024-05-03,1,0,1,0
4092000023,2025-01-14,0,0,0,1
4051710013,2024-05-30,0,0,0,1
3050000043,2024-08-30,1,1,0,0
3077650021,2026-03-17,1,1,1,0
3025127505,2024-02-05,1,0,0,0
5001340047,2026-01-31,1,1,1,0
4106640081,2025-02-19,0,0,0,1
3064650013,2026-03-27,1,1,1,0
3004290048,2024-08-27,1,1,1,0
3076200048,2025-06-10,1,0,0,0
3015250007,2026-03-05,1,1,1,0
3011120086,2024-08-16,0,0,0,1
3070750028,2026-02-18,0,0,0,1
4015300029,2024-11-22,0,0,1,1
3058730022,2025-02-06,0,0,0,1
4026380035,2025-11-25,1,1,0,0
4130170020,2025-06-02,0,0,0,1
4030350001,2024-06-26,1,1,0,0
2028870035,2026-01-27,1,0,1,0
3078720010,2026-03-05,1,1,1,0
3052210018,2024-05-29,1,1,1,0
3043000008,2025-04-21,1,1,1,0
5069930112,2024-07-02,1,1,0,0
2035990040,2025-01-28,1,1,1,0
5040490042,2025-10-09,0,0,0,1
3045480040,2024-11-04,0,0,1,1
4093400159,2024-12-22,1,1,1,0
4017490037,2025-12-17,1,0,1,0
3032300015,2025-12-29,1,1,1,0
4024900035,2024-05-08,0,0,0,1
4060220035,2024-03-05,0,0,1,1
4114280037,2026-01-30,0,0,0,1
3017580080,2024-12-05,1,0,1,0
3016730012,2024-01-09,1,1,0,0
4046690047,2024-08-09,0,0,0,1
3016480003,2026-03-05,1,1,1,0
4038230007,2025-12-01,1,0,0,0
4126100025,2024-09-19,1,1,0,0
4131940006,2024-09-06,1,1,1,0
3069140041,2025-08-21,0,0,0,1
4067480107,2024-06-07,1,1,1,0
2028720276,2024-02-20,1,1,1,0
4076800033,2025-02-24,0,0,0,1
4040640014,2025-01-15,1,1,0,0
2049020041,2025-07-21,1,0,1,0
4122810045,2025-09-19,1,1,1,0
2045580026,2024-07-02,1,0,1,0
2053260038,2024-04-25,1,1,0,0
3071330029,2025-05-08,1,0,1,0
3057290042,2025-04-01,0,0,0,1
4100080015,2024-08-02,0,0,1,1
2045630022,2025-09-12,0,0,1,1
2046680078,2025-08-22,1,1,1,0
3037920048,2025-11-13,1,0,1,0
4016900007,2024-04-25,1,1,0,0
4013130035,2025-02-25,0,0,1,1
4129640244,2024-08-12,1,1,1,0
5033960042,2024-08-14,0,0,0,1
4134360064,2024-11-25,0,0,0,1
3049750068,2024-08-26,1,1,1,0
5027700048,2024-12-24,0,0,0,1
3032300015,2025-12-29,1,1,1,0
3039460003,2025-01-06,1,1,1,0
3016100063,2025-11-28,1,0,1,0
2046680076,2024-07-02,1,1,1,0
2032090049,2025-12-15,1,0,1,0
4137320042,2025-11-14,0,0,0,1
1020770010,2025-06-09,1,1,1,0
5006610042,2025-11-14,0,0,0,1
4136990027,2025-05-01,1,1,0,0
2034750030,2024-05-17,0,0,0,1
3018000052,2025-05-05,1,1,0,0
4053020093,2024-02-23,0,0,1,1
3013910031,2024-05-20,0,0,1,1
4061660007,2025-07-17,1,1,1,0
3055340044,2024-04-02,1,1,0,0
3011660076,2025-10-28,1,1,1,0
2031470005,2025-06-02,1,1,1,0
3041930001,2024-04-05,0,0,0,1
3058660021,2024-11-15,1,0,1,0
3013920021,2025-02-27,0,0,0,1
3055200013,2025-09-18,1,1,0,0
2047110096,2025-09-11,0,0,0,1
4103650021,2025-05-01,0,0,0,1
4123330212,2024-05-09,1,0,1,0
4132390016,2026-02-20,0,0,0,1
4024240007,2025-10-22,1,1,1,0
4056120054,2025-11-13,1,0,0,0
2051000003,2025-10-31,0,0,1,1
5053570068,2024-03-13,1,0,0,0
4161180028,2024-05-22,1,1,0,0
4050310016,2024-10-28,1,1,0,0
4016450033,2024-08-02,1,0,1,0
4015250091,2026-01-24,0,0,0,1
3088661835,2025-01-15,0,0,0,1
5043940089,2026-01-15,0,0,0,1
2031010002,2024-10-25,1,1,1,0
4110730111,2025-06-09,1,0,0,0
3042020039,2024-02-14,0,0,0,1
3059200067,2024-10-25,1,0,1,0
4010980046,2024-05-10,1,1,0,0
5042730076,2025-01-02,1,1,1,0
3006280001,2026-02-25,1,1,1,0
3004440002,2024-06-05,1,1,1,0
3041650017,2024-04-25,1,1,1,0
3062180061,2024-04-08,1,1,0,0
4074620096,2025-11-14,1,1,0,0
4012140069,2024-11-18,1,1,1,0
3073370040,2024-07-25,1,0,0,0
4130300005,2024-03-06,1,1,1,0
3005310003,2025-04-10,1,1,0,0
5005970027,2024-03-01,0,0,0,1
1020230054,2024-08-27,1,1,1,0
3036710133,2025-07-16,0,0,1,1
5005630046,2025-01-14,1,1,1,0
3070780060,2026-02-26,0,0,0,1
4133340063,2025-09-18,1,1,0,0
4089960078,2025-11-03,0,0,1,1
3041180002,2025-12-22,1,1,1,0
4158340059,2025-07-23,1,1,1,0
3034400050,2024-11-27,1,1,0,0
2045580058,2024-07-02,1,0,0,0
3054590035,2025-12-21,1,1,0,0
4048670004,2025-02-11,1,0,0,0
4060540072,2025-07-15,0,0,0,1
3070920001,2025-03-18,1,1,1,0
2024230027,2025-09-17,1,0,1,0
3062180061,2024-04-08,1,1,0,0
2037680020,2025-02-05,1,1,1,0
4089960078,2025-11-03,0,0,1,1
2038200070,2024-12-02,1,1,1,0
5012230044,2024-07-12,1,0,1,0
3040740003,2024-03-03,0,0,0,1
1005480012,2025-11-26,1,1,1,0
3019640019,2024-03-20,1,1,1,0
3013930009,2025-02-07,0,0,1,1
3016610061,2025-07-05,1,1,1,0
1012130050,2025-10-27,1,1,1,0
4072360071,2025-05-08,1,0,1,0
5023750137,2024-03-03,0,0,0,1
4027630024,2024-11-27,1,1,1,0
2054880014,2025-07-18,1,1,1,0
5036040024,2024-08-22,1,0,1,0
5032290074,2026-01-30,1,1,0,0
3077170027,2025-01-21,1,1,0,0
3047460055,2024-06-24,1,1,1,0
4092610023,2024-10-10,1,1,1,0
3033660031,2024-10-15,1,1,1,0
1002010030,2024-08-18,1,1,1,0
5011000007,2024-05-29,0,0,1,1
4102690088,2025-12-03,1,1,0,0
3081790167,2024-08-22,1,0,1,0
2045170131,2024-04-25,1,1,1,0
3016100025,2024-06-18,1,0,0,0
4008750056,2024-12-23,1,0,0,0
4021710040,2025-01-24,0,0,1,1
3034380035,2024-09-05,1,0,0,0
4141760049,2024-07-15,1,0,0,0
4097330065,2024-06-17,1,1,1,0
4131040019,2025-08-06,1,0,1,0
4117780018,2024-11-08,0,0,0,1
4023060011,2025-09-16,1,1,1,0
3007570027,2025-03-07,1,1,1,0
4018660003,2025-10-10,0,0,0,1
3007070042,2025-01-28,1,1,1,0
3049630001,2025-11-28,1,0,1,0
5054420037,2024-04-10,0,0,0,1
4018850033,2024-03-05,0,0,0,1
4072500031,2025-11-25,0,0,0,1
5037090023,2024-04-10,0,0,0,1
3022340054,2024-04-29,1,1,0,0
5068810040,2024-08-30,0,0,0,1
5008870067,2025-06-03,1,1,0,0
4062680012,2025-11-26,1,1,1,0
4094440021,2025-02-27,1,1,1,0
3050080054,2024-07-08,1,0,0,0
4048930030,2025-05-01,1,1,0,0
3011140163,2025-03-17,1,1,1,0
3071040085,2025-11-28,0,0,0,1
3023670038,2024-05-06,1,1,1,0
4094300056,2025-11-05,1,1,1,0
3023120010,2025-01-22,1,1,1,0
3039460001,2025-01-06,1,1,0,0
2058690631,2024-03-18,0,0,0,1
3042500033,2026-03-19,1,1,0,0
3066230067,2025-08-14,0,0,1,1
3059480006,2025-03-04,1,1,0,0
4054210075,2025-01-21,1,1,0,0
1007640044,2025-09-24,1,1,1,0
4105190009,2025-07-24,0,0,0,1
4047080005,2025-11-05,0,0,1,1
3034240022,2026-03-08,1,1,1,0
