outcome,okey,owner,scale,s1_b,s1_se,s1_p,s1_eff,s1_N,s2_b,s2_se,s2_p,s2_eff,s2_N,s2b_b,s2b_se,s2b_p,s2b_eff,s2b_N,s2c_b,s2c_se,s2c_p,s2c_eff,s2c_N,s3_b,s3_se,s3_p,s3_eff,s3_N,s2_dpct,s2b_dpct,s2c_dpct,s3_dpct
Complaint count,ncomp,llc,irr,0.4242059235239509,0.020433802957603733,0.0,52.83762900128293,766382,0.39721874859758777,0.021008215613336167,0.0,48.76813226634105,766382,0.41768537768142494,0.0214533828735035,0.0,51.84428632268991,766382,0.42196475137911404,0.02050109642541853,0.0,52.49547711833189,762752,0.546240333385692,0.02607443502150403,0.0,72.67487988709537,701372,-6.361810014856957,-1.5371180553912818,-0.5283217467165661,28.76772885394443
Complaint count,ncomp,owner_occ_star,irr,-0.004516938213996482,0.01773267445911238,0.7989362588448148,-0.45067521908986885,766382,0.0170948960711381,0.017407460017006254,0.32607804732109735,1.7241850000081937,766382,-0.0009095174962012057,0.017850708945784333,0.9593642971894829,-0.09091040105302373,766382,-0.0036537869371719356,0.017686348102559427,0.836331647935415,-0.36471199800328646,762752,0.03528206718857274,0.017326171830001257,0.04171570202483821,3.5911864341124033,701372,,,,
Complaint count,ncomp,geo_outside_nyc,irr,0.07517938499865774,0.01769003707596321,2.139471394180248e-05,7.8077524475233195,766382,0.07525268095393191,0.017707265076504507,2.1394281673359217e-05,7.815654609319633,766382,0.07528486778235083,0.01774832969558707,2.217340850951821e-05,7.819124909144093,766382,0.07551127002052131,0.017781803981971458,2.17090057725855e-05,7.843538163844577,762752,0.0944702997048805,0.01952932625880239,1.3157777376537894e-06,9.907651975123798,701372,0.09749475241846546,0.14030812262559733,0.441457484481279,25.65984638816502
Any complaint,anyc,llc,pp,8.93223376179729,0.24240353357745476,0.0,8.93223376179729,766400,8.854840260214567,0.2418502947250127,0.0,8.854840260214567,766400,8.974356845852933,0.24125903085255118,0.0,8.974356845852933,766400,8.87948062304519,0.24286598327050699,0.0,8.87948062304519,762770,10.525740686614322,0.2679600690278991,0.0,10.525740686614322,701394,-0.866451815376024,0.4715851060213053,-0.590592903845878,17.839959939610846
Any complaint,anyc,owner_occ_star,pp,-0.4191451638733801,0.17187150252938668,0.014818434249647794,-0.4191451638733801,766400,-0.3619269198483872,0.1718724371192071,0.03533602353853427,-0.3619269198483872,766400,-0.4431372855780724,0.17137673803696332,0.009780621044739535,-0.4431372855780724,766400,-0.4042814545749097,0.17202245422404472,0.018853061286239425,-0.4042814545749097,762770,-0.4201119883107388,0.17313173305914567,0.01532530188749015,-0.4201119883107388,701394,13.651176002182858,-5.724060247523251,3.5461960627465463,-0.2306657742210778
Any complaint,anyc,geo_outside_nyc,pp,1.625308138753412,0.22492384747939245,6.830092047493963e-13,1.625308138753412,766400,1.619987136781854,0.22512580294600862,8.475442569988445e-13,1.619987136781854,766400,1.6327233469712714,0.22505110004754686,5.546674231027282e-13,1.6327233469712714,766400,1.6410235093367833,0.22604760175898336,5.360156762890256e-13,1.6410235093367833,762770,1.7525766307769663,0.23614892434661597,1.6608936448392342e-13,1.7525766307769663,701394,-0.32738419532183544,0.4562339928689895,0.9669163778029628,7.830422366626884
DOB-ledger violation count,dobviol,llc,irr,0.316341635994321,0.0157112758803011,0.0,37.20989339463978,765821,0.16765824146480404,0.015144526392403757,0.0,18.25324010395022,765821,0.19677175819971252,0.015336101598194629,0.0,21.74661323301288,765821,0.31552160278093766,0.015748960436313752,0.0,37.097422845946724,762195,0.05083918708679214,0.018431302267637006,0.0058101631960230105,5.215367977932273,700781,-47.000893215392665,-37.797704819594166,-0.2592239275762251,-83.92902441469803
DOB-ledger violation count,dobviol,owner_occ_star,irr,-0.2470796579529989,0.017528054847740216,0.0,-21.892152805901922,765821,-0.11878975021817294,0.01663154755607674,9.168221737354543e-13,-11.200551821750116,765821,-0.15637556091038465,0.017605286555046527,0.0,-14.476206388835822,765821,-0.24350972366282828,0.017546805940845327,0.0,-21.612814611039234,762195,-0.0848232850713415,0.015702140046122966,6.589435530557353e-08,-8.132538642316078,700781,51.92248880287429,36.710467301953514,1.444851559107197,65.66966063734912
DOB-ledger violation count,dobviol,geo_outside_nyc,irr,0.06636351115695588,0.017045534490844998,9.888658327716904e-05,6.86151000823263,765821,0.05581932865836564,0.016071649123698788,0.0005143781824077376,5.740662340426428,765821,0.05987658461033122,0.016615603837465305,0.0003137966926134439,6.170550766047711,765821,0.07071473265731841,0.017050122723972716,3.36181541316094e-05,7.327501188340246,762195,0.05037735107197857,0.019352748078756855,0.009238204287914442,5.166786950785673,700781,-15.888524152455203,-9.77483926563571,6.556647507802123,-24.08877982234628
Violations / substantive inspection,violrate,llc,pp,1.1561123926572527,0.3118567074985965,0.0002147796730176399,1.1561123926572527,134791,1.0519355303692444,0.31604289418434606,0.0008877544576284535,1.0519355303692444,134791,1.0116364249604308,0.3163621614862669,0.0014049856942284222,1.0116364249604308,134791,1.1221149252241462,0.3130634790781601,0.00034537196373696233,1.1221149252241462,134112,1.1496841409242688,0.38312166103332,0.002723688570452465,1.1496841409242688,105066,-9.010963203029448,-12.496706082766993,-2.940671482204721,-0.556023079919501
Violations / substantive inspection,violrate,owner_occ_star,pp,-2.8199057107038383,0.3238235423202668,0.0,-2.8199057107038383,134791,-2.7657567634319764,0.32526172483585136,0.0,-2.7657567634319764,134791,-2.728939344014998,0.3237186746217116,0.0,-2.728939344014998,134791,-2.789734990828799,0.32429388392855446,0.0,-2.789734990828799,134112,-2.4634933700410415,0.34849367157921834,2.107203300738547e-12,-2.4634933700410415,105066,1.9202396401525972,3.2258655437857047,1.0699194572540747,12.63915808638288
Violations / substantive inspection,violrate,geo_outside_nyc,pp,0.38958699283247566,0.39444101989789027,0.3234117868070281,0.38958699283247566,134791,0.3844361261965377,0.3938051940115593,0.3290688815207874,0.3844361261965377,134791,0.3946139538673504,0.39317623498386084,0.31565510611927605,0.3946139538673504,134791,0.4298267251562778,0.39652538854355146,0.2784918282230029,0.4298267251562778,134112,0.19966677660581703,0.4733798192878079,0.6732210399303233,0.19966677660581703,105066,-1.3221351663947474,1.2903308188824283,10.328818226512354,-48.749116300277834
ECB citation count,ecb,llc,irr,0.6111758952228279,0.022522275502563176,0.0,84.2596826179757,766376,0.5762477670163015,0.023013104331468307,0.0,77.93493557720375,766376,0.5961326155325227,0.023066361458579737,0.0,81.50855753028397,766376,0.6053036744183896,0.02254332791318978,0.0,83.18083977811268,762746,0.7155804597017502,0.027075194825523785,0.0,104.5373594694556,701343,-5.714906049066603,-2.4613666553096887,-0.960807003407314,17.08257234864565
ECB citation count,ecb,owner_occ_star,irr,-0.013224211765481208,0.023832359532604545,0.5789735249023917,-1.3137156047346332,766376,0.01701715790261862,0.023826315084671753,0.47509304214850356,1.7162774555351534,766376,-0.004719637973909061,0.024093974981256396,0.8447005131962988,-0.4708517983594507,766376,-0.010767947735369116,0.023931256062152455,0.6527441112234871,-1.0710180915440737,762746,0.028852537280462595,0.025985724137776875,0.266860029597245,2.927280391687015,701343,,,,
ECB citation count,ecb,geo_outside_nyc,irr,0.11097296235955999,0.02435305676252321,5.1929161553054826e-06,11.736469554116047,766376,0.10906096098579951,0.02441788154113838,7.953259076876051e-06,11.523033380979975,766376,0.11124967979432655,0.024315091017348328,4.75459235249609e-06,11.767393261708126,766376,0.11495324969812619,0.02446414169449537,2.6163483635155416e-06,12.18209908760266,762746,0.14527553607165022,0.028120340381922543,2.388905451233825e-07,15.635814475725152,701343,-1.722943438749938,0.24935572492872843,3.5867181103716046,30.910748873178274
