metric,value
n_asian_classified,129808.0
asian_substantive_per100_complaints,52.7
asian_viol_per100_substantive,27.8
asian_viol_per100_complaints,14.7
n_white_classified,134963.0
white_substantive_per100_complaints,65.0
white_viol_per100_substantive,29.4
white_viol_per100_complaints,19.1
asian_conversion_no_access_share,0.714
white_conversion_no_access_share,0.607
interacted_fe_pct,39.4
interacted_fe_cells,9400.0
contrast_complaints_asian_vs_black,38.6
contrast_complaints_asian_vs_hispanic,35.8
contrast_conversion_asian_vs_black,57.1
contrast_conversion_asian_vs_hispanic,62.6
contrast_viol_per_substantive_asian_vs_black,-1.5
contrast_viol_per_substantive_asian_vs_hispanic,-1.7
contrast_noaccess_per_complaint_asian_vs_black,3.5
contrast_noaccess_per_complaint_asian_vs_hispanic,4.4
white_viol_per100_complaints_product,19.1
marginal_substantiation_per100,6.0
