subgroup,n_props,owner_occ,queens_share,brooklyn_share,compl_100,conv_100,viol_100,ecb_100
chinese,73003,32.6,50.4,29.7,50.3,15.7,6.6,13.0
filipino,121,26.4,52.1,20.7,28.9,4.1,3.3,4.1
indian,2816,17.7,73.4,10.9,54.0,20.2,8.2,16.3
indo_caribbean,4624,12.6,81.2,7.9,82.4,44.3,10.9,17.4
japanese,47,38.3,38.3,27.7,44.7,12.8,8.5,12.8
korean,2145,17.2,71.6,15.5,32.7,8.5,6.4,12.2
muslim_sa,11950,27.3,60.1,17.3,69.8,25.1,12.2,23.5
nepali_himalayan,710,53.9,92.4,4.1,52.4,14.1,7.0,13.1
sikh_punjabi,871,9.6,88.7,4.4,68.2,30.3,11.4,23.0
singh,3038,9.8,89.3,4.8,83.8,37.9,15.0,27.9
vietnamese,1560,47.2,37.2,29.2,32.8,9.0,5.8,12.4
white_ref,134951,33.1,30.3,32.0,32.8,5.2,6.3,10.9
asian_uncl,31520,25.7,64.1,20.8,47.2,17.2,7.8,13.1
