,n,pctapi
CHEN,8339,0.9612
LIN,5459,0.9585
LI,3859,0.9678
SINGH,3039,0.8277
HUANG,2722,0.9714
ZHENG,2589,0.9802
WU,2316,0.9637
WANG,2248,0.9524
LIU,2229,0.9562
ZHANG,2069,0.9806
CHAN,1862,0.8932
WONG,1742,0.8649
JIANG,1339,0.9788
AHMED,1256,0.5654
KHAN,1205,0.8125
YANG,1153,0.9681
RAHMAN,1068,0.7943
YU,1062,0.961
PERSAUD,997,0.5183
ISLAM,928,0.8778
NG,898,0.932
ZHU,865,0.9823
LIANG,798,0.9672
LAM,778,0.8799
LU,757,0.9574
CHENG,752,0.9463
GAO,743,0.9739
XU,730,0.9825
HOSSAIN,728,0.9323
CHOWDHURY,720,0.9357
ZHAO,704,0.9811
ZHOU,643,0.982
DONG,642,0.9381
KIM,629,0.9447
THE,626,0.7379
HE,600,0.9592
CHEUNG,594,0.9513
KAUR,580,0.9609
YE,569,0.9702
TANG,550,0.9331
TAN,527,0.9237
SHI,525,0.9686
UDDIN,523,0.8941
CHANG,515,0.8884
LAU,508,0.7607
HU,502,0.9493
CHIN,472,0.7608
LEUNG,460,0.9434
MEI,455,0.9172
WENG,441,0.9009
MA,427,0.9351
PAN,418,0.9402
ALAM,410,0.8292
HUSSAIN,398,0.7692
HO,394,0.9306
FENG,389,0.964
BEGUM,375,0.966
GUO,375,0.9777
ZENG,356,0.9748
ZOU,344,0.9769
CHUNG,344,0.9001
CHU,343,0.9214
CAO,342,0.9522
XIE,341,0.9819
PATEL,335,0.9478
LAI,314,0.9172
SUN,307,0.9446
NGUYEN,302,0.9645
CAI,300,0.9583
YAN,297,0.9406
JIN,283,0.963
ZHONG,278,0.9798
CHIU,277,0.9211
QIU,271,0.9821
XIAO,267,0.9791
QU,253,0.9549
MIAH,250,0.8709
HAQUE,248,0.9086
DENG,247,0.8604
WEI,247,0.9446
KUMAR,243,0.8826
CHOW,243,0.8704
LUO,240,0.9757
YEUNG,239,0.9568
KONG,237,0.8791
ENG,233,0.7738
TAM,231,0.9016
YEE,225,0.8354
NI,222,0.949
TRAN,219,0.96
FUNG,218,0.8756
PARK,216,0.7298
AHMAD,215,0.5879
CHOI,215,0.9609
FANG,215,0.9378
KWOK,213,0.9566
LEI,207,0.9423
GUAN,207,0.9614
XIA,200,0.9737
WEN,198,0.9504
HONG,198,0.8812
LO,198,0.908
CHI,197,0.8411
CHOUDHURY,196,0.9246
MAI,193,0.8547
AKTER,191,0.9542
ZHEN,187,0.9863
SHARMA,183,0.9064
CHAU,183,0.9444
TSANG,177,0.9439
DAS,172,0.8561
SU,171,0.9336
BHUIYAN,171,0.9026
YUAN,171,0.9643
YOU,170,0.9454
REN,168,0.8451
HAN,166,0.9267
TONG,166,0.8126
RUAN,163,0.8033
KARIM,161,0.528
HOQUE,160,0.8727
XUE,158,0.9788
LIAO,156,0.9591
KUANG,153,0.9838
SHAH,153,0.9174
YUEN,152,0.8712
DAI,152,0.9382
HUI,151,0.935
ZHUO,149,0.9832
TSE,148,0.9351
YIP,147,0.9325
RAMPERSAUD,146,0.5791
SHAO,145,0.9535
SONG,145,0.9515
FONG,144,0.8111
JIAN,144,0.915
SHEN,144,0.9377
ZAMAN,142,0.8452
KABIR,141,0.8074
CHO,141,0.9512
ULLAH,138,0.8065
WAI,135,0.869
YI,134,0.9445
LIM,133,0.9224
MOY,132,0.679
PENG,132,0.7604
CHONG,129,0.7889
OU,127,0.9561
FU,126,0.9406
MUI,126,0.9264
KWAN,124,0.9047
LUI,123,0.9019
SAHA,123,0.8778
KAM,122,0.7095
SHERPA,114,0.9242
LOUIE,114,0.7863
FERNANDO,114,0.6279
LING,113,0.552
KO,111,0.9363
LEONG,111,0.8196
YIN,111,0.9397
LE,110,0.9559
FAN,110,0.9478
HUYNH,109,0.9668
KANG,109,0.9386
BAO,109,0.9103
LIAN,108,0.8037
LALL,108,0.5733
CHUN,107,0.81
IQBAL,107,0.8834
SULTANA,105,0.8712
YAO,105,0.9291
TUNG,104,0.9023
WAN,104,0.8997
MALIK,103,0.666
AU,103,0.8307
SIU,102,0.8606
AKHTER,101,0.9412
POON,100,0.913
HSU,100,0.9378
OUYANG,100,0.9771
GONG,97,0.8888
BIBI,96,0.8253
HUNG,96,0.8773
MAHMOOD,96,0.7556
CHOU,95,0.9411
YONG,95,0.7746
SYED,94,0.897
YUNG,94,0.7513
GURUNG,93,0.9557
LY,93,0.9459
RAM,93,0.6172
LAMA,92,0.5669
CEN,92,0.8975
SARKER,92,0.9185
PRASHAD,91,0.5798
MAK,91,0.8752
AMIN,91,0.7093
TOM,90,0.5253
KE,89,0.8476
HOU,89,0.946
YAU,87,0.9255
MATHEW,87,0.8074
JAN,86,0.6637
DING,86,0.9316
MO,84,0.8579
RONG,84,0.9494
TRUONG,83,0.9687
MAN,83,0.6748
AZAD,83,0.6171
BISWAS,82,0.9069
SHU,82,0.9064
WOO,81,0.8686
YING,80,0.8992
TAI,79,0.8618
SZE,79,0.9106
NARAIN,79,0.6307
CHAO,78,0.867
HA,77,0.9293
TIAN,77,0.9602
TSAI,77,0.9457
MIN,76,0.9215
CHING,75,0.6712
CHIANG,74,0.9045
YUN,74,0.9345
RAHAMAN,73,0.5444
KWONG,73,0.9494
AKHTAR,72,0.8981
SO,71,0.926
PHAM,70,0.9633
CHAUDHRY,69,0.9057
HOM,69,0.8075
