block,era,outcome,b,se,t,n
raw,pre-1995,complaints_per_100,74.8947684906795,,,46564
raw,1995-2004,complaints_per_100,69.64145977093264,,,112456
raw,2005-2014,complaints_per_100,72.5675412761561,,,149057
raw,2015-2019,complaints_per_100,99.54111036837637,,,110702
raw,2020-2026,complaints_per_100,111.74312931128874,,,182660
raw,no deed found,complaints_per_100,67.78895690647919,,,164990
ppml,1995-2004,all complaints,0.061414504257693146,0.026332081382483392,2.33230724778738,766382
ppml,2005-2014,all complaints,0.02828912283400568,0.02838179151407344,0.9967349249246015,766382
ppml,2015-2019,all complaints,0.3854930868812788,0.028521164400014714,13.516036073235494,766382
ppml,2020-2026,all complaints,0.6983454878497154,0.028889062049263,24.17335276094681,766382
ppml,no deed found,all complaints,-0.035947243980146815,0.034180515977242115,-1.0516881607077264,766382
ppml,1995-2004,conversion complaints,0.25014314733765247,0.033251394019945694,7.522786779634119,766158
ppml,2005-2014,conversion complaints,0.2753282980680942,0.039920330094317044,6.896944424497363,766158
ppml,2015-2019,conversion complaints,0.49717157788415217,0.0424193236466984,11.720403230022935,766158
ppml,2020-2026,conversion complaints,0.6645154473093308,0.04423460766023374,15.022523821472037,766158
ppml,no deed found,conversion complaints,-0.2088277626171615,0.05451428783184941,-3.8306978027722858,766158
meta,panel,residential_lots,766429.0,,,766429
