word,z,n_asian,n_white
term rental,-5.596247801967936,148,99
short term,-5.309468151755043,243,138
illegal airbnb,-5.06120668142125,11,23
new york,-4.7200355410947905,67,52
http www,-4.51214492615987,89,61
shared driveway,-4.4163616840970095,14,21
property line,-3.855882937565133,19,21
staten island,-3.8001448683512384,44,34
left side,-3.27064731474175,17,17
com room,-3.126136528947345,40,28
dob inspector,-3.1054608979054614,26,21
airbnb com,-2.970718737997426,55,34
two illegal,-2.575212134441425,23,17
york city,-2.5721399730754833,21,16
can see,-2.507785789819855,50,29
fire escape,-2.388742813714406,29,19
owner using,-2.3297065200185654,19,14
top floor,-2.313230166969964,55,30
commercial space,-2.3124855060532274,41,24
www airbnb,-2.297778890136242,60,32
used airbnb,-2.2909481904511013,30,19
previou complaint,-2.2002201688493392,18,13
two people,-2.2002201688493392,18,13
source impression,-2.092779593604749,21,14
residential area,-2.0092462694556987,52,27
person living,-2.0083946098761127,40,22
inspector come,-2.0010451194052603,24,15
commercial business,-1.9782479105287478,22,14
illegal plumbing,-1.9782479105287478,22,14
past year,-1.9696114676892196,55,28
few day,-1.95687718878446,20,13
illegal use,-1.8299762086750078,52,26
past month,-1.7913589769233416,33,18
main floor,-1.7250611512709124,22,13
few month,-1.7001571704233345,34,18
residential use,-1.693723449751639,20,12
owner live,-1.682880730905742,49,24
illegal cellar,-1.6105036165315165,35,18
air bnb,-1.6101077150698793,68,31
ongoing issue,-1.5765773923177642,21,12
gain access,-1.5352247371329735,51,24
private home,-1.48398835875741,78,34
bathroom kitchen,-1.479712272157512,39,19
electrical wiring,-1.4624501861897297,22,12
term stay,-1.4624501861897297,22,12
separate entrance,-1.3966374383385625,40,19
every week,-1.303250430280095,21,11
ground floor,-1.1889445405534829,64,27
next door,-1.1799126861489442,114,45
used business,-1.1713275432364756,67,28
running illegal,-1.13713607246421,25,12
smoke detector,-1.1344972157543567,20,10
paying rent,-1.1344972157543567,20,10
complaint regarding,-1.1344972157543567,20,10
multiple dwelling,-1.1320659453433628,38,17
building conversion,-1.0340374395331107,26,12
side door,-0.9744370262861725,73,29
neighbor running,-0.9723055100992984,24,11
illegal short,-0.9338933531353496,35,15
certificate occupancy,-0.9301855235618067,105,40
requesting inspection,-0.9005547150695329,30,13
license plate,-0.8671001439897975,44,18
illegal building,-0.8076661078914764,31,13
two story,-0.8076589441315382,42,17
many time,-0.798027154446226,23,10
illegal tenant,-0.798027154446226,23,10
dob permit,-0.798027154446226,23,10
one bedroom,-0.7892253865787263,105,39
how many,-0.7232862056556922,21,9
back yard,-0.7116604417697089,133,48
there' illegal,-0.6974383530867634,35,14
amount people,-0.6922376896364406,24,10
space used,-0.6922376896364406,24,10
conversion garage,-0.6922376896364406,24,10
owner converted,-0.6647741160085846,61,23
illegal bathroom,-0.6532867770160251,44,17
illegal renting,-0.6456702857133927,30,12
building code,-0.614774804208563,56,21
neighbor illegally,-0.6129964987679776,22,9
residential neighborhood,-0.570110871413639,28,11
permit posted,-0.554220085802695,101,36
safety concern,-0.5406847819316175,34,13
vacate order,-0.5194993647582438,40,15
every night,-0.5060728625542908,23,9
quality life,-0.5037550961417009,46,17
family building,-0.497380700544736,49,18
long time,-0.4893289119105909,26,10
neighboring property,-0.4893289119105909,26,10
soon possible,-0.47881803198618983,61,22
dwelling unit,-0.4646185097437242,32,12
hpd inspector,-0.43546076967275704,44,16
year old,-0.4307215590340308,47,17
illegal occupancy,-0.4073136996640855,92,32
landlord live,-0.39194079148598915,27,10
group people,-0.38369244235040884,30,11
neighbor converted,-0.38369244235040884,30,11
new people,-0.37708069154108376,33,12
illegal business,-0.37708069154108376,33,12
work done,-0.3717439821910823,36,13
landlord converted,-0.3717439821910823,36,13
doing construction,-0.36742034665874496,39,14
used illegal,-0.36742034665874496,39,14
basement turned,-0.3610800500678475,45,16
owner illegally,-0.35880086144642,48,17
parking space,-0.3555675750779466,54,19
illegal gas,-0.35314060837562894,63,22
hot water,-0.30785293430708444,22,8
bathroom added,-0.30785293430708444,22,8
service request,-0.30785293430708444,22,8
living thebasement,-0.3016345391559521,25,9
least year,-0.3016345391559521,25,9
floor basement,-0.3016345391559521,25,9
two unit,-0.3016345391559521,25,9
floor family,-0.3016345391559521,25,9
running business,-0.3016345391559521,25,9
residential building,-0.2985811001083656,152,51
used family,-0.29379569194304644,31,11
secondary exit,-0.29379569194304644,31,11
building owner,-0.28979539651757663,37,13
converted garage,-0.28979539651757663,37,13
car garage,-0.2881249129418678,43,15
every day,-0.2254086127307815,59,20
air conditioner,-0.2046783953293501,29,10
fire hazard,-0.18829658186134257,198,65
converted basement,-0.18705854599218005,161,53
