word,z,n_asian,n_white
airbnb,-8.763593726564364,284,204
studio,-7.791132202919456,76,84
office,-6.169230483398505,57,58
law,-6.124563377070078,76,68
pool,-6.117500759391531,19,35
business,-6.094651447697836,734,350
listing,-5.932225831093359,85,71
http,-5.572213064596847,122,86
term,-5.539885839331368,272,153
website,-5.471320563116135,35,40
com,-5.265773582272168,150,96
story,-5.221806976695485,151,96
day,-5.018703871835096,446,217
name,-4.979039767112881,115,77
short,-4.865977950578641,315,162
brooklyn,-4.843477981608735,162,97
york,-4.762978924741008,69,53
www,-4.655004280530239,102,68
building,-4.599808175690677,1964,766
inspector,-4.503112451474656,290,147
him,-4.384445265365771,75,53
duplex,-4.358613764462389,25,27
east,-4.296037624135353,31,30
guest,-4.28902453268533,58,44
available,-4.194836408734164,18,22
record,-4.074663832353254,43,35
access,-4.05068141140695,287,140
date,-4.028120552787213,23,24
lease,-3.999218565983439,56,41
host,-3.9973089961208874,42,34
deck,-3.993900141675699,52,39
hpd,-3.940121309303245,100,61
staten,-3.9146833346433776,45,35
side,-3.910463717581776,436,196
until,-3.8571420164068324,58,41
complaint,-3.6356521481467134,285,134
sign,-3.6233968482186194,70,45
damage,-3.5824633097029484,20,20
stay,-3.5696510077938512,169,87
lock,-3.541753268008992,54,37
son,-3.5118243920074796,30,25
run,-3.5032117716394686,99,57
court,-3.501160905592528,36,28
violation,-3.4435185868613694,250,118
running,-3.4407648723909037,207,101
notice,-3.3490969817217797,46,32
video,-3.345451439891032,24,21
registration,-3.323856009289193,30,24
island,-3.3129078574328887,55,36
event,-3.2625380985791494,21,19
worker,-3.2591553539579774,69,42
legal,-3.249691058866308,261,120
unlicensed,-3.245589687940616,41,29
despite,-3.239536682548105,25,21
camera,-3.2341765502022133,37,27
zoning,-3.194967411796257,93,52
music,-3.194485147616583,70,42
contractor,-3.171385153787105,44,30
lady,-3.1326089047951875,32,24
structure,-3.0847924740986055,141,71
broken,-3.0796424807228657,43,29
photo,-3.069385680728088,41,28
right,-3.0422467065867878,137,69
mold,-3.038135720678651,50,32
show,-2.9933951647117736,64,38
give,-2.9780766996931165,53,33
company,-2.9753011765646136,62,37
year,-2.9568928492279296,945,364
longer,-2.934482277294171,22,18
found,-2.9263031598083105,65,38
sure,-2.920228206086255,98,52
service,-2.8806712972654975,106,55
shared,-2.8597700765896312,80,44
electricity,-2.7774866442253296,79,43
reported,-2.769117571107475,133,65
city,-2.758532462332497,156,74
sort,-2.7408943215052926,32,22
thing,-2.729935475284355,61,35
active,-2.712758145942382,24,18
premise,-2.7060363704102137,66,37
rental,-2.693786325718251,620,244
key,-2.6603008650153077,35,23
left,-2.6534356615713217,103,52
continue,-2.641683058621817,44,27
sro,-2.6261923355356593,126,61
top,-2.623987741488134,116,57
advertised,-2.6230194697868887,42,26
client,-2.60460822335383,25,18
step,-2.5608675508121137,45,27
brick,-2.540317313634088,43,26
source,-2.5378097737095513,32,21
metal,-2.526006377034346,50,29
listed,-2.525670028442793,118,57
truck,-2.5162225043415045,154,71
open,-2.504172873283393,212,93
foot,-2.4982705596512376,26,18
supply,-2.4982705596512376,26,18
male,-2.4805979046824236,37,23
having,-2.4544641945713166,82,42
downstair,-2.4513043172965077,58,32
get,-2.4309082234373007,257,109
summer,-2.4257069924613086,31,20
entire,-2.405848356423011,154,70
required,-2.392554603074996,38,23
sunday,-2.3537248829149267,43,25
yard,-2.28722195332048,355,143
issued,-2.2740527678678317,51,28
paid,-2.273188671689365,26,17
local,-2.212251335647604,31,19
blocking,-2.2074600467410557,104,49
let,-2.2040056498896616,64,33
due,-2.198536166025389,151,67
