ym,n
2020-01,10870
2020-02,9417
2020-03,8767
2020-04,7430
2020-05,8278
2020-06,9394
2020-07,11020
2020-08,10898
2020-09,10001
2020-10,9347
2020-11,8194
2020-12,8926
2021-01,8470
2021-02,7153
2021-03,10382
2021-04,9299
2021-05,10048
2021-06,12623
2021-07,11653
2021-08,10363
2021-09,11310
2021-10,10071
2021-11,9274
2021-12,8474
2022-01,7775
2022-02,8550
2022-03,10704
2022-04,9686
2022-05,10509
2022-06,11225
2022-07,11042
2022-08,12183
2022-09,10792
2022-10,9973
2022-11,9406
2022-12,9596
2023-01,10117
2023-02,9269
2023-03,11032
2023-04,10269
2023-05,11927
2023-06,15091
2023-07,10932
2023-08,11220
2023-09,11009
2023-10,11225
2023-11,9241
2023-12,10124
2024-01,10414
2024-02,9656
2024-03,11328
2024-04,11907
2024-05,11423
2024-06,10245
2024-07,10436
2024-08,10930
2024-09,9602
2024-10,10413
2024-11,9377
2024-12,9594
2025-01,9277
2025-02,8616
2025-03,10063
2025-04,9990
2025-05,10099
2025-06,10639
2025-07,10727
2025-08,10184
2025-09,9910
2025-10,11377
2025-11,9424
2025-12,9350
2026-01,9308
2026-02,8990
2026-03,12518
2026-04,11432
2026-05,3156
