group,n_properties,any_complaint,complaints_per_100units,any_violation,viol_per_inspection,no_access_share
All residential,766429,0.23409735278805996,17.352320392418754,0.08730750010764206,0.3142590484862281,0.2013649294369473
Individual owner,587397,0.18566489103621572,18.937850599761976,0.05584808911179322,0.3049595436288492,0.2813341812491515
LLC owner,91260,0.48361823361823364,21.899669029158364,0.24039009423624808,0.3229331680326928,0.14666587820856689
Corporate/org owner,33760,0.5380331753554503,12.062560013094814,0.28557464454976306,0.3198142254650832,0.11851497921544268
Trust/estate,52364,0.13432892827133144,14.561604198909897,0.037563975250171876,0.3073094867807154,0.2651175072616847
Owner-occupied (STAR),237261,0.20109921141696274,18.204308861890826,0.06325101892009222,0.2784916812609457,0.23352261804415658
Not owner-occupied,529168,0.248892601215493,17.14052446136807,0.09809361110271218,0.3236506294188653,0.1928747120602819
Co-op,7122,0.7041561359168773,7.886426312571748,0.3930075821398484,0.25587694017153373,0.08647276986140932
Condo,10191,0.5568638995191836,8.491763279272822,0.2801491512118536,0.25480429691855927,0.08975544892177835
NYCHA,688,0.7747093023255814,4.605825942100761,0.4331395348837209,0.2143909626719057,0.03421309872922776
Pre-1940,428125,0.2763959124087591,22.590332678341237,0.10384116788321168,0.3356422009695735,0.22746933578163425
Built 2000+,60724,0.28889730584282985,15.590256434097316,0.12714906791383968,0.26662612090181326,0.10033795723626082
Mixed use,59592,0.5393844811384079,15.242238052121587,0.28683380319505974,0.3138258908693966,0.1115356395554227
Prior violation 2010-19,148880,0.4745768404083826,15.816257910822964,0.23713057495969908,0.3276547395627253,0.1441447532662062
No prior violation,617549,0.1761220567112893,20.224687991029093,0.051187840964846514,0.2917330500973624,0.2850411846578593
