metric,value,se,n
panel_rows,550087.0,,
nta_coverage,0.8309,,
tract_coverage,0.9602,,
tract_singleton_share,0.6464,,
r2_category,0.1635,,
r2_unit,0.0728,,
r2_inspector,0.2265,,
r2_case_mix_cat_unit_ym,0.2704,,
r2_case_mix_plus_inspector,0.3801,,
r2_inspector_increment,0.1097,,
r2_inspector_unique_beyond_category,0.1359,,
r2_category_unique_beyond_inspector,0.0728,,
inspectors_30plus,644.0,,
strictness_p10,0.0742,,
strictness_p50,0.2846,,
strictness_p90,0.9565,,
corr_strictness_no_access,-0.175,,649.0
base_permit30_all_rows,0.189,,
base_permit30_nta_estimation,0.1927,,
base_permit30_tract_estimation,0.2193,,
base_permit90_all_rows,0.3213,,
base_permit90_nta_estimation,0.3258,,
base_permit90_tract_estimation,0.3598,,
base_permit365_all_rows,0.475,,
base_permit365_nta_estimation,0.4815,,
base_permit365_tract_estimation,0.5119,,
base_ecb365_all_rows,0.367,,
base_ecb365_nta_estimation,0.3763,,
base_ecb365_tract_estimation,0.4109,,
share_censored_ecb365,0.1705,,
iv_viol_to_ecb365_pp,2.75,1.24,
