term,term_label,component,points,ci_lo,ci_hi,share_of_total,n,outcome,fe
tract_poverty10,Tract poverty rate (+10 pp),total,1.2251687635435997,0.9246608004588196,1.52567672662838,1.0,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_poverty10,Tract poverty rate (+10 pp),direct,0.6793322262242149,0.40639923522504534,0.9522652172233843,0.5544805307142812,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_poverty10,Tract poverty rate (+10 pp),via_era,0.07291954063724353,,,0.05951795606209851,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_poverty10,Tract poverty rate (+10 pp),via_value,0.04341041706120372,,,0.03543219379479298,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_poverty10,Tract poverty rate (+10 pp),via_ownership,0.2996575427236314,,,0.24458470672801116,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_poverty10,Tract poverty rate (+10 pp),via_use_size,0.00155447738274368,,,0.0012687863329518857,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_poverty10,Tract poverty rate (+10 pp),via_history,0.12829455951448332,,,0.10471582636779961,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_log_income_z,Tract log median income (+1 SD),total,-0.9448733796208979,-1.221903438064919,-0.6678433211768768,1.0,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_log_income_z,Tract log median income (+1 SD),direct,-0.6758781588387175,-0.9437162015236005,-0.40804011615383445,0.7153108272664993,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_log_income_z,Tract log median income (+1 SD),via_era,0.000771085854795618,,,-0.0008160732130108195,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_log_income_z,Tract log median income (+1 SD),via_value,-0.03959133007714428,,,0.04190120171766201,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_log_income_z,Tract log median income (+1 SD),via_ownership,-0.21596727917958486,,,0.22856742907312644,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_log_income_z,Tract log median income (+1 SD),via_use_size,0.05167827792296483,,,-0.05469333673438783,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_log_income_z,Tract log median income (+1 SD),via_history,-0.0658859753031699,,,0.06972995189006666,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_renter10,Tract renter share (+10 pp),total,0.5956315682487227,0.4494285222335135,0.7418346142639318,1.0,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_renter10,Tract renter share (+10 pp),direct,0.2370648877880727,0.08660295360778733,0.3875268219683581,0.39800591577960087,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_renter10,Tract renter share (+10 pp),via_era,0.12162729026312188,,,0.2041988651151092,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_renter10,Tract renter share (+10 pp),via_value,0.03524728743405341,,,0.059176325287270404,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_renter10,Tract renter share (+10 pp),via_ownership,0.12290557452051276,,,0.2063449640217694,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_renter10,Tract renter share (+10 pp),via_use_size,0.004849667355944565,,,0.008142058974818222,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_renter10,Tract renter share (+10 pp),via_history,0.07393686088705215,,,0.12413187082149034,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_foreign10,Tract foreign-born share (+10 pp),total,1.2329819456229107,0.9514860036827201,1.5144778875631015,1.0,760431,any caller complaint (pp),size_bin + comm_bin + borocode
tract_foreign10,Tract foreign-born share (+10 pp),direct,1.2551129687845244,0.9948891139927024,1.5153368235763462,1.0179491867177608,760431,any caller complaint (pp),size_bin + comm_bin + borocode
