outcome,spec,term,term_label,fe,baseline_rate,estimate,std_error,ci_lo,ci_hi,p,n,cluster,min_inspector_cases
viol100,hit_base,tract_poverty10,Tract poverty rate (+10 pp),complaint_category + size_bin + comm_bin + borocode,27.709835856049956,1.0479521425837537,0.15416611890394535,0.7456244010015736,1.3502798841659338,1.368549717994938e-11,273834,bct2020,30
viol100,hit_inspector_fe,tract_poverty10,Tract poverty rate (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,1.0345012256277821,0.13973933879679,0.7604651468253892,1.3085373044301751,1.8895995879120164e-13,273834,bct2020,30
viol100,hit_inspector_fe_controls,tract_poverty10,Tract poverty rate (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,1.070708252717952,0.14118763613038002,0.7938319878544662,1.3475845175814376,4.951594689828198e-14,273834,bct2020,30
noaccess100,noaccess_base,tract_poverty10,Tract poverty rate (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.5966474834500083,0.12244939069158772,0.35651788812065255,0.836777078779364,1.1805677266885084e-06,391363,bct2020,30
noaccess100,noaccess_controls,tract_poverty10,Tract poverty rate (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.5322249190315393,0.12038750505684624,0.2961387881922025,0.7683110498708762,1.0309672864750041e-05,391363,bct2020,30
viol100,hit_base,tract_log_income_z,Tract log median income (+1 SD),complaint_category + size_bin + comm_bin + borocode,27.709835856049956,-1.1564654764839768,0.12669091591133436,-1.4049129223869001,-0.9080180305810536,0.0,273834,bct2020,30
viol100,hit_inspector_fe,tract_log_income_z,Tract log median income (+1 SD),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,-1.0572223989103837,0.11412142623567814,-1.2810204247364523,-0.8334243730843152,0.0,273834,bct2020,30
viol100,hit_inspector_fe_controls,tract_log_income_z,Tract log median income (+1 SD),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,-1.1533701945739907,0.11993584610732377,-1.388570598827322,-0.9181697903206594,0.0,273834,bct2020,30
noaccess100,noaccess_base,tract_log_income_z,Tract log median income (+1 SD),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,-0.4834663705098557,0.11330206697942162,-0.705657590409631,-0.26127515061008033,2.0653367114098486e-05,391363,bct2020,30
noaccess100,noaccess_controls,tract_log_income_z,Tract log median income (+1 SD),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,-0.44354064822481737,0.11543196637131216,-0.6699087111139964,-0.2171725853356383,0.00012529550033280046,391363,bct2020,30
viol100,hit_base,tract_renter10,Tract renter share (+10 pp),complaint_category + size_bin + comm_bin + borocode,27.709835856049956,0.01264076886840254,0.08001938810607347,-0.14428139445057064,0.16956293218737573,0.8744940104793462,273834,bct2020,30
viol100,hit_inspector_fe,tract_renter10,Tract renter share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,0.34370340738215815,0.0722781869701925,0.20196214031447152,0.4854446744498448,2.111061790932567e-06,273834,bct2020,30
viol100,hit_inspector_fe_controls,tract_renter10,Tract renter share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,0.33924954896592074,0.07809847734945385,0.18609439110157383,0.49240470683026766,1.4640730693793458e-05,273834,bct2020,30
noaccess100,noaccess_base,tract_renter10,Tract renter share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.1820230220245418,0.07890873099067511,0.027278914816456223,0.33676712923262736,0.021161794193738093,391363,bct2020,30
noaccess100,noaccess_controls,tract_renter10,Tract renter share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.17891232584536013,0.07672486461794105,0.028450893670414146,0.3293737580203061,0.019798163619359377,391363,bct2020,30
viol100,hit_base,tract_foreign10,Tract foreign-born share (+10 pp),complaint_category + size_bin + comm_bin + borocode,27.709835856049956,0.6422631104810648,0.11589324181486817,0.41499046256315775,0.8695357583989718,3.354184197057464e-08,273834,bct2020,30
viol100,hit_inspector_fe,tract_foreign10,Tract foreign-born share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,0.5286720519407866,0.10224756178248723,0.32815928911224335,0.7291848147693298,2.547337401015426e-07,273834,bct2020,30
viol100,hit_inspector_fe_controls,tract_foreign10,Tract foreign-born share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,0.5251580313162196,0.104297340821023,0.3206255456596721,0.7296905169727672,5.164702363558149e-07,273834,bct2020,30
noaccess100,noaccess_base,tract_foreign10,Tract foreign-born share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.5293226081145063,0.11038492313180698,0.3128520583437441,0.7457931578852685,1.7344352620796144e-06,391363,bct2020,30
noaccess100,noaccess_controls,tract_foreign10,Tract foreign-born share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.4606160189967272,0.10700196806035545,0.25077961928369047,0.670452418709764,1.7457223339345518e-05,391363,bct2020,30
viol100,hit_base,tract_overcrowd10,Tract overcrowded-household share (+10 pp),complaint_category + size_bin + comm_bin + borocode,27.709835856049956,1.069121870968077,0.23603321039556532,0.6062485240575022,1.5319952178786518,6.230013227526143e-06,273834,bct2020,30
viol100,hit_inspector_fe,tract_overcrowd10,Tract overcrowded-household share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,1.1990359310185827,0.2032091442251046,0.8005322774324046,1.5975395846047609,4.190475522136694e-09,273834,bct2020,30
viol100,hit_inspector_fe_controls,tract_overcrowd10,Tract overcrowded-household share (+10 pp),complaint_category + size_bin + comm_bin + borocode + inspector_badge,27.709835856049956,1.2065226218124163,0.19965554907358055,0.814987752316386,1.5980574913084467,1.773778457447861e-09,273834,bct2020,30
noaccess100,noaccess_base,tract_overcrowd10,Tract overcrowded-household share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,1.1185537830415608,0.18008167344495407,0.7654042971491757,1.471703268933946,6.270959307386192e-10,391363,bct2020,30
noaccess100,noaccess_controls,tract_overcrowd10,Tract overcrowded-household share (+10 pp),complaint_category + size_bin + comm_bin + borocode,29.632960715426382,0.9730529872307655,0.16994157569901497,0.6397887580520323,1.3063172164094987,1.1715064029971245e-08,391363,bct2020,30
viol100,hit_base,tract_black10,Tract Black share (+10 pp),complaint_category + size_bin + comm_bin + borocode,27.709835856049956,0.6061859128598678,0.07139779118087075,0.4661711475201642,0.7462006781995714,0.0,273834,bct2020,30
