outcome,spec,term,term_label,fe,baseline_rate,estimate,std_error,ci_lo,ci_hi,p,n,cluster
viol100,hpd_hit_base,tract_poverty10,Tract poverty rate (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.42468856379255376,0.1215222982203032,0.18637582126927127,0.6630013063158362,0.0004840807787560575,2258451,bct2020
viol100,hpd_hit_controls,tract_poverty10,Tract poverty rate (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.4806921184399009,0.12048658901455643,0.24441046572394468,0.7169737711558571,6.839064078945079e-05,2258451,bct2020
noaccess100,hpd_noaccess_base,tract_poverty10,Tract poverty rate (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.4645008259483146,0.10145318027656462,-0.66345668398472,-0.2655449679119092,4.949485410188359e-06,3182590,bct2020
noaccess100,hpd_noaccess_controls,tract_poverty10,Tract poverty rate (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.5047932540210511,0.1011037542486384,-0.7030638663607046,-0.30652264168139765,6.425802143716908e-07,3182590,bct2020
viol100,hpd_hit_base,tract_log_income_z,Tract log median income (+1 SD),major_category + size_bin + comm_bin + borocode,35.96004518140973,-0.7891526290644925,0.12464933462283484,-1.0335976833689964,-0.5447075747599887,2.9534530376906787e-10,2258451,bct2020
viol100,hpd_hit_controls,tract_log_income_z,Tract log median income (+1 SD),major_category + size_bin + comm_bin + borocode,35.96004518140973,-0.8476874438963077,0.1274289092521105,-1.0975834159554276,-0.5977914718371876,3.6456837548826115e-11,2258451,bct2020
noaccess100,hpd_noaccess_base,tract_log_income_z,Tract log median income (+1 SD),major_category + size_bin + comm_bin + borocode,29.03732494603452,0.5879127761177951,0.09318922001347955,0.4051630468635413,0.770662505372049,3.3997094028848096e-10,3182590,bct2020
noaccess100,hpd_noaccess_controls,tract_log_income_z,Tract log median income (+1 SD),major_category + size_bin + comm_bin + borocode,29.03732494603452,0.6389494290794232,0.09339314643331655,0.45579978771078955,0.8220990704480569,1.0164757924258083e-11,3182590,bct2020
viol100,hpd_hit_base,tract_renter10,Tract renter share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.19352286051961465,0.0837778873714478,0.0292292420258137,0.3578164790134156,0.02098460644140232,2258451,bct2020
viol100,hpd_hit_controls,tract_renter10,Tract renter share (+10 pp),major_category + size_bin + comm_bin + borocode,35.96004518140973,0.18893453205290442,0.08275081742786204,0.026655061239024974,0.35121400286678384,0.022516751625782483,2258451,bct2020
noaccess100,hpd_noaccess_base,tract_renter10,Tract renter share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.16249727968916694,0.06345646481472675,-0.2869392673208477,-0.038055292057486215,0.010511405170685384,3182590,bct2020
noaccess100,hpd_noaccess_controls,tract_renter10,Tract renter share (+10 pp),major_category + size_bin + comm_bin + borocode,29.03732494603452,-0.1161598655011628,0.06612627837515378,-0.24583751993268155,0.013517788930355934,0.07912112905497937,3182590,bct2020
