word,z,n_agency,n_caller
permit posted,-46.82426173727633,218,19263
construction work,-39.171523976950354,707,11927
taking place,-29.785115182103052,169,6368
construction site,-29.529246202437847,715,8378
family home,-29.18126522725437,48,11333
next door,-28.365435298225812,63,8211
first floor,-28.209860829704347,138,5792
residential building,-26.101489871778288,46,7771
second floor,-26.01380358297526,117,4929
family house,-25.801653833181543,52,6808
hot water,-24.870180757748283,212,4514
doing construction,-24.445043820864,32,8348
illegally converted,-23.62981763355363,188,4064
illegal construction,-23.1334229216273,194,3944
illegal basement,-22.991943479385974,175,3838
people living,-22.33057837647936,27,6897
neighboring property,-22.288373507601435,59,4033
construction worker,-22.287204028742554,50,4354
two family,-21.980184993929036,62,3808
one family,-21.639033790708766,42,4379
construction going,-21.541282230604306,25,6449
new york,-21.495645474493315,60,3627
story building,-20.025044602090855,47,3274
building construction,-19.28728008438222,20,5182
doing work,-18.721502204674103,25,3834
back yard,-18.675216958783146,32,3219
short term,-18.334344751564494,33,2987
property owner,-18.089424858198836,27,3227
living room,-18.075426331792787,33,2860
illegal driveway,-17.95889967008711,36,2690
property line,-17.5591654262836,58,2219
fire hazard,-17.47554198917904,30,2713
department building,-17.399963416148154,204,2680
front door,-17.27982246033485,55,2155
parking lot,-16.737256603118727,168,2373
certificate occupancy,-16.688121771324706,289,2999
curb cut,-16.66813694182927,365,3394
construction taking,-16.5719741354937,20,2958
term rental,-15.975003698738394,29,2112
ground floor,-15.66193137056777,139,2037
residential property,-15.36960701660518,32,1829
air conditioner,-15.273115684561773,25,1983
safety netting,-15.06432890386585,71,1636
commercial building,-14.971140248427492,20,2104
construction material,-14.8394573102641,76,1610
commercial space,-14.618104332798723,77,1574
demolition work,-14.488763034392937,81,1567
fire escape,-14.452577297257537,775,5025
single family,-14.20621590234037,28,1551
living space,-13.984054054949008,59,1404
construction debri,-13.846115960019164,108,1589
building shaking,-13.779355179229897,33,1383
new building,-13.716153411477139,122,1641
building permit,-13.662237444946069,90,1473
entire building,-13.507100073717517,58,1318
third floor,-13.455735145432334,40,1286
posted permit,-13.34697222537617,12,2039
work going,-13.319939068787754,19,1509
safety hazard,-13.256785237845973,19,1488
loud noise,-13.210235641092842,12,1965
top floor,-13.104163963243426,68,1289
water leak,-13.009125229003907,75,1305
gas line,-12.994862683781678,231,2111
right side,-12.939975705526974,53,1209
left side,-12.831497640366917,50,1183
floor building,-12.70040442283698,16,1426
fire department,-12.609227794759796,22,1223
vacant building,-12.538934035392217,72,1223
two year,-12.423094674307157,40,1096
year old,-12.387063840131809,13,1488
lot noise,-12.221021448482436,10,1718
building shake,-12.209309348616895,20,1158
one elevator,-12.067275380390923,4,4033
residential space,-12.05470408071963,12,1433
active construction,-12.023511561641797,132,1462
construction happening,-11.980514791709309,12,1404
parking space,-11.962517651945124,18,1137
boiler room,-11.912902300556993,93,1243
year ago,-11.80138880435062,6,2419
doing illegal,-11.795882305358933,14,1221
safety issue,-11.766752990214592,31,983
can see,-11.763178213590797,7,2045
stop work order effect,-11.76079549364714,8,1803
exhaust system,-11.706814624351736,20,1038
mixed use,-11.600615245430932,14,1161
fire exit,-11.484479014729661,18,1019
proper permit,-11.398769643273528,14,1102
building owner,-11.394625037861719,9,1453
neighboring building,-11.391731875082806,12,1193
construction permit,-11.362712526518854,79,1102
private house,-11.30545428160451,6,2034
work taking,-11.217238759049552,104,1215
dob inspector,-11.14510713754883,10,1246
construction progress,-11.110292231715077,10,1233
con edison,-11.09807196805089,37,884
two elevator,-10.951302774602462,4,2725
new construction,-10.880783005270132,12,1035
last night,-10.875615030314163,15,937
last week,-10.820072751070727,5,2052
two week,-10.75376658652467,6,1668
water coming,-10.641986450981298,8,1249
three family,-10.633039300351715,18,838
side building,-10.5628795935505,22,799
license plate,-10.546381421112187,11,985
ongoing issue,-10.491685153157343,8,1188
building next,-10.488958816697675,4,2283
falling debri,-10.282539925194188,71,935
parking spot,-10.27426817285065,11,910
use building,-10.225295078223585,10,943
month ago,-10.22371443797767,4,2055
door open,-10.21371905746547,16,780
gas stove,-10.18191737272131,40,774
past month,-10.170406797675541,6,1345
past day,-10.138905634453709,52,823
working elevator,-10.108354568543197,10,910
need inspected,-10.101888670339637,6,1311
occupied building,-10.069665679383283,27,721
got stuck,-10.037307995687604,15,759
falling apart,-10.03706420540121,14,774
two bedroom,-10.009573918207636,10,883
gain access,-10.002366599184457,6,1263
gas pipe,-9.975797344015344,61,850
hard hat,-9.921760033145077,22,699
feet high,-9.882613734158754,27,696
water leaking,-9.83402591188521,29,694
private home,-9.816942814234592,9,881
permit work,-9.815905351148709,44,749
ventilation system,-9.76912140141099,7,1023
doing demolition,-9.756249530442952,8,928
front yard,-9.726271214028184,289,1980
large amount,-9.719352362324615,26,673
debri falling,-9.679136344652264,342,2228
stop work order posted,-9.645277097356509,10,790
week ago,-9.629898175211661,4,1609
front building,-9.551805909333758,32,669
illegal business,-9.551413032222012,22,647
neighbor doing,-9.473983502130364,6,1034
floor floor,-9.473850812830445,32,660
emergency exit,-9.345030103596034,16,631
rain water,-9.330538685245523,28,630
single room,-9.295598342249182,20,613
tenant living,-9.268994050685034,6,956
stop order,-9.259750466544833,10,702
wearing mask,-9.236297190171964,9,731
construction company,-9.208281458818774,4,1343
basement illegally,-9.149055077531711,13,624
social distancing,-9.122068307626016,53,721
construction next,-9.093085505992113,10,667
shared driveway,-9.077868965464413,15,596
nopermit posted,-9.074440427028186,7,797
every day,-9.072720262420336,3,1704
basement converted,-9.045905915082699,12,619
converted basement,-9.028985751304669,10,654
sheet rock,-9.026813854809422,19,578
excessive debri,-9.017035409227041,155,1241
vacant lot,-9.00608792145076,100,957
stop work order place,-8.996370032941266,8,717
previou complaint,-8.89136298851668,9,654
heavy duty,-8.88018801836801,5,949
building doing,-8.87398783343574,6,821
dangerou condition,-8.870064756826663,19,558
secondary exit,-8.819580209452782,3,1517
illegal activity,-8.817341930461973,22,555
basement floor,-8.77406181590886,22,550
car parked,-8.752368133101061,15,549
construction building,-8.72807861947515,7,703
family building,-8.692762870849826,25,549
construction done,-8.68168695160539,6,762
abandoned building,-8.64830894239027,29,559
sign posted,-8.644079458607516,43,624
staten island,-8.624381140353028,3,1384
people live,-8.602983443752048,3,1370
many people,-8.595299227821528,3,1365
dangerou situation,-8.550181395788961,6,724
renovation work,-8.536065996001616,9,583
drain pipe,-8.52013326724121,9,580
safety concern,-8.492846938173491,72,762
carbon monoxide,-8.473613643104336,40,593
unlicensed contractor,-8.46994608036123,7,640
illegal room,-8.437199161835398,15,507
can seen,-8.435419849979807,7,632
see permit,-8.38282662155855,7,620
occupied construction,-8.37051193361472,6,675
residential unit,-8.31661250746531,49,625
home owner,-8.307082682090561,4,898
safety net,-8.305293751531044,9,541
property next,-8.304819349355906,8,566
building management,-8.28697800284432,2,1795
visible permit,-8.28259668933816,4,888
electrical wire,-8.258195738422556,45,599
storage room,-8.251994542255503,16,483
unit building,-8.250662366072715,5,729
back house,-8.244150360256178,11,502
living inside,-8.217747040110892,4,862
day week,-8.21521762186487,4,861
done building,-8.205073239194606,4,857
york city,-8.201487871988018,5,714
side door,-8.18912876227591,9,521
late night,-8.178205273583261,5,707
too close,-8.139720219540862,23,485
stop working,-8.138067040613446,4,831
commercial property,-8.136991455249147,10,497
residential home,-8.135451992626106,4,830
residential area,-8.130979302377122,5,693
