word,z,n_agency,n_caller
building,-138.0108644004479,7678,183698
elevator,-93.00460809249053,2120,79649
basement,-73.87394950957516,2054,52746
working,-71.66506769827689,1442,47747
house,-71.08163202937172,1557,47377
done,-70.18188672644219,1199,45566
floor,-65.76740726307756,3909,56608
property,-60.6072012514984,3947,52419
one,-60.049712305151814,498,36437
posted,-57.79569381676644,699,31136
door,-57.768280412143206,929,31076
family,-55.38481622394358,414,31257
going,-54.76482711585015,367,31695
home,-51.83755332632482,230,34390
two,-50.37377611903265,542,23643
room,-50.37224638501954,873,24224
owner,-50.33125793392228,591,23515
day,-49.44410188007297,381,23910
but,-49.20287279599884,177,34803
people,-48.833175940226816,135,43222
living,-48.25719389514,226,27584
back,-48.14537337938214,704,21774
residential,-47.137955931153726,447,20813
need,-47.11494814557259,452,20769
construction,-47.09545910082846,14241,105834
doing,-46.99050403040645,186,28594
time,-46.695560830386235,889,21518
issue,-46.03405614595841,368,20262
water,-44.325229743873095,1838,26225
converted,-44.03712345130007,500,18024
year,-43.06624891683889,149,24849
lot,-42.996745117014804,688,17908
side,-42.71302184904114,962,19320
driveway,-42.16610481696998,568,16811
front,-41.08627509791898,1421,21451
place,-40.73876687016312,825,17263
illegally,-40.437615818995944,502,15391
space,-39.764469815943826,489,14896
month,-39.20920152720351,135,19388
inside,-38.75667736944311,250,14493
boiler,-38.37497357758085,709,15179
can,-38.27304240301508,104,21612
neighbor,-37.172548847731754,94,21139
next,-36.34713685640969,140,14948
week,-36.0887679958984,83,21118
coming,-35.410271103379685,141,13785
scaffolding,-35.23632655749281,500,12233
business,-35.06202113849012,316,11435
used,-34.877580257115916,721,13409
outside,-34.77413534212717,268,11263
had,-34.737967714920494,488,11901
bedroom,-33.64846323574894,151,11618
using,-33.13559433439288,327,10309
backyard,-33.107944025823464,129,11810
noise,-32.87702165352476,97,13454
car,-32.19045080366783,461,10459
exit,-32.06595327655141,227,9581
first,-31.939609287245815,191,9652
well,-31.76011695371057,104,11583
kitchen,-31.61737371273812,275,9329
window,-31.601507782236634,1798,19214
commercial,-31.50405681043427,573,10843
live,-31.4129008108802,59,17006
taking,-31.15710193105277,341,9317
made,-31.15170401175637,127,10027
right,-31.14666409674512,264,9048
bathroom,-30.937651996519577,232,8899
past,-30.656663026178332,92,11105
block,-30.65358787546361,243,8745
built,-30.545424784261453,387,9258
inspector,-30.514731657395323,649,10920
light,-30.351132477462397,549,10178
night,-29.9111084871459,71,12118
use,-29.855053149731447,1202,14442
broken,-29.521920875044934,546,9807
get,-29.500908863334722,47,16634
heat,-28.647688675893715,225,7659
three,-28.245265204383518,130,7740
make,-28.175943949652467,496,8925
air,-28.080742494949778,134,7584
look,-27.934063036756747,97,8223
stated,-27.72450867708126,99,7991
neighboring,-27.63863238172568,126,7392
second,-27.63004685212636,471,8543
blocking,-27.583389837957288,329,7627
may,-27.56477846642289,115,7505
way,-27.381153654502608,111,7450
renovation,-27.381125903900735,197,6983
debri,-27.30005922583563,1603,16069
dangerou,-26.99238516964582,81,8060
last,-26.90371107218866,57,9863
landlord,-26.901900537404124,33,16738
put,-26.688458145922006,48,11003
location,-26.57174904096821,915,11190
city,-26.255999560238212,174,6414
making,-26.01535764012722,63,8241
story,-25.914946867275308,517,8213
resident,-25.654924575245424,43,10451
several,-25.461969722967844,259,6381
currently,-25.37490399029153,64,7547
causing,-25.32317674435466,948,10959
many,-25.32144750410268,59,7863
company,-25.08508842981019,106,6064
feet,-25.07182094221933,368,6904
entrance,-24.87006017155808,408,7100
tenant,-24.716155738866522,2830,22710
hot,-24.61819810077178,277,6164
these,-24.55845610314766,43,8885
shaking,-24.379231058855442,92,5838
walk,-24.28803772678,261,5949
garbage,-23.984487464270263,136,5352
restaurant,-23.857893264468768,185,5402
stuck,-23.689366835395003,65,6094
every,-23.612239750703196,35,9184
park,-23.567364411921904,94,5348
weekend,-23.39987694957729,75,5573
today,-23.34422496452108,46,7070
private,-23.200483176636467,70,5578
see,-22.999820239433443,1186,11725
running,-22.87977393138632,107,4907
take,-22.85504419638139,320,5832
hazard,-22.846270558703246,547,7386
fix,-22.628479023165927,68,5267
dust,-22.615076353830215,361,6032
too,-22.559358075006124,67,5251
new,-22.54817378798981,1880,15978
truck,-22.476115933401797,257,5299
management,-22.467858138545587,26,10164
store,-22.405163953379155,381,6103
started,-22.404129647531974,44,6350
wire,-22.40275813284144,237,5151
ground,-22.38232221440067,413,6316
call,-22.069177767529755,71,4863
access,-21.848116294606836,987,10036
garage,-21.830356670085163,1462,13093
large,-21.811016740727037,344,5667
came,-21.775556846990344,69,4737
area,-21.53674019488979,1336,12191
happening,-21.46645682058259,38,6077
attached,-21.45851789213688,235,4835
rain,-21.36881356359509,94,4278
seem,-21.302615170012455,49,5094
blocked,-21.281029645284388,310,5276
loud,-21.247375942863545,32,6685
children,-21.224244981994996,42,5482
including,-21.16990784408502,99,4179
seen,-21.022449748249816,82,4190
problem,-20.912700210583264,20,10090
long,-20.87717824664153,71,4231
heavy,-20.7844043049791,132,4070
rental,-20.766876686166672,44,4985
come,-20.747751687614375,15,14058
legal,-20.712384081846494,91,4010
same,-20.63485345733809,88,3988
parked,-20.48903844760241,152,4053
turned,-20.48093052279368,54,4364
renting,-20.474614704670312,28,6531
cause,-20.36843098293875,51,4394
part,-20.312144323017957,269,4716
smell,-20.298582199699332,35,5324
there',-20.230676243835855,20,8742
visible,-20.218339270341076,79,3855
located,-20.178333902970987,581,6819
close,-20.16568881834375,147,3925
occupied,-20.14529912641629,897,8913
residence,-20.09906562035622,51,4234
ago,-20.051782844180483,22,7590
inspected,-19.894610602629864,126,3747
few,-19.873771290912888,49,4168
having,-19.854969265749514,104,3674
continue,-19.83833073115625,75,3718
drain,-19.79634873323823,82,3667
closed,-19.73044258994035,184,3997
investigate,-19.70891811145752,33,5019
rented,-19.660475493476234,27,5795
added,-19.62401243332058,69,3671
york,-19.601790287663707,62,3738
fall,-19.595161056321402,379,5273
morning,-19.57113256913536,29,5381
properly,-19.55668856161687,264,4471
ongoing,-19.55644719811974,605,6806
drilling,-19.488285931332847,55,3800
placed,-19.486246137120368,87,3536
falling,-19.394390957318954,1400,11881
trash,-19.34376798711408,61,3632
top,-19.288175461639426,544,6320
single,-19.219382237210464,93,3438
proper,-19.204483232602175,268,4403
yard,-19.059844631621225,1351,11468
exhaust,-19.05351753405735,101,3393
short,-18.965510128614266,43,3854
getting,-18.96512744878997,29,4821
doesn't,-18.868671287174884,144,3515
old,-18.739474582049628,340,4777
stop work order,-18.71429629720929,1657,13238
gate,-18.692504052200754,249,4138
effect,-18.64642544550312,46,3582
