event_date,event_type,bin,address,bbl,record_id,category_or_type,origin,ref_311,severity,status_or_disposition,amount,penalty_imposed,penalty_paid,balance_due,respondent_or_owner,description,inspector_comments,source_table
2018-08-14,permit_job_filed,1037552,235 E 42 ST,1013160023,M00026084-I1,Alteration,applicant,,,LOC Issued,4200.0,,,,AT&T,"Alteration filing; initial cost $4,200; dwelling units nan -> nan; approved 2018-11-09; first permit 2018-11-13; signoff 2019-03-04",,permits_now
2018-11-13,work_permit_issued,1037552,235 E 42 ST,1013160023,M00026084-I1-AN,Antenna (Initial Permit),applicant,,,Signed-off,4200.0,,,,AT&T,"AT&T / Replacement of existing telecommunications antennas on facade. Replacement of RRH units in the existing equipment room in basement. All work in compliance with TPPN 5/98. No change to occupancy, use, or egress.",,permits
2019-01-18,permit_job_filed,1037551,219 E 42 ST,1013160012,M00120593-I1,No Work,applicant,,,TA Certificate of Operation Issued,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2019-01-23; first permit -; signoff -,,permits_now
2019-02-01,permit_job_filed,1037552,235 E 42 ST,1013160023,M00120167-I1,No Work,applicant,,,TA Certificate of Operation Issued,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2019-02-06; first permit -; signoff -,,permits_now
2019-02-01,permit_job_filed,1037552,235 E 42 ST,1013160023,M00125565-I1,No Work,applicant,,,PAA Approved,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2019-05-30; first permit -; signoff -,,permits_now
2019-04-05,permit_job_filed,1037552,235 E 42 ST,1013160023,M00150692-I1,No Work,applicant,,,TA Certificate of Operation Issued,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2019-04-18; first permit -; signoff -,,permits_now
2019-08-22,permit_job_filed,1037552,235 E 42 ST,1013160023,M00213008-I1,No Work,applicant,,,TA Certificate of Operation Issued,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2019-08-27; first permit -; signoff -,,permits_now
2019-08-22,permit_job_filed,1037552,235 E 42 ST,1013160023,M00213076-I1,No Work,applicant,,,TA Certificate of Operation Issued,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2019-08-27; first permit -; signoff -,,permits_now
2019-08-29,permit_job_filed,1037551,219 E 42 ST,1013160012,M00218691-I1,No Work,applicant,,,TA Certificate of Operation Issued,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2019-09-03; first permit -; signoff -,,permits_now
2019-09-04,permit_job_filed,1037552,235 E 42 ST,1013160023,M00125565-P3,No Work,applicant,,,Approved,0.0,,,,,No Work filing; initial cost $0; dwelling units nan -> nan; approved 2019-10-31; first permit -; signoff -,,permits_now
2019-09-04,permit_job_filed,1037552,235 E 42 ST,1013160023,M00196693-I1,Alteration,applicant,,,LOC Issued,325000.06,,,,PFIZER GLOBAL OPERATIONS,"Alteration filing; initial cost $325,000; dwelling units 0 -> 0; approved 2019-09-06; first permit 2019-09-19; signoff 2020-11-06",,permits_now
2019-09-04,permit_job_filed,1037552,235 E 42 ST,1013160023,M00196745-I1,Alteration,applicant,,,LOC Issued,99999.96,,,,PFIZER GLOBAL OPERATIONS,"Alteration filing; initial cost $100,000; dwelling units 0 -> 0; approved 2019-09-14; first permit 2019-10-10; signoff 2020-09-18",,permits_now
2019-09-04,permit_job_filed,1037552,235 E 42 ST,1013160023,M00197479-I1,Alteration,applicant,,,LOC Issued,189975.0,,,,PFIZER GLOBAL OPERATIONS,"Alteration filing; initial cost $189,975; dwelling units 0 -> 0; approved 2019-09-10; first permit 2019-09-24; signoff 2020-09-18",,permits_now
