metric,value
scraped_pages,783289.0
window_filed_complaints,783355.0
share_with_inspection_comments,0.9936
share_with_complaint_text,0.7872
n_with_complaint_text,616614.0
share_ecb_linked,0.2137
distinct_inspector_badges,815.0
distinct_bins,219413.0
origin_share_311,0.6808
origin_share_agency,0.3192
months_in_window,77.0
monthly_average,10173.4
daily_average,334.0
afterhours_n,18586.0
afterhours_share_noviol,0.8575
afterhours_share_viol,0.0331
afterhours_share_same_day,0.1063
afterhours_median_days_to_inspection,4.0
complaints_per_lot_BK,0.91
complaints_per_lot_BX,1.23
complaints_per_lot_MN,3.89
complaints_per_lot_QN,0.58
complaints_per_lot_SI,0.27
manhattan_vs_queens_per_lot_ratio,6.66
tracts_with_200plus_units,2206.0
tract_per100_p90,32.33
tract_per100_p10,8.71
tract_p90_p10_ratio,3.71
viol_per100_substantive_owner_occupied,27.8
complaints_per100_units_owner_occupied,18.2
viol_per100_substantive_absentee,32.4
complaints_per100_units_absentee,17.1
db_gz_gib,2.76
db_gib,8.12
