term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n,n_tracts,mean_intensity,median_intensity,window
decile_01,34.14043583535109,1.1584871060084843,29.46984533386862,,31.869801107574464,36.41107056312772,raw_decile_mean,violation disposition per inspection (pp),2478.0,222.0,18.797810014921943,19.898934030571198,2020-01..2026-05
decile_02,31.989688305601124,0.8304499277021496,38.520911663050434,,30.36200644730491,33.617370163897334,raw_decile_mean,violation disposition per inspection (pp),4267.0,221.0,35.006026926601365,34.66955579631636,2020-01..2026-05
decile_03,34.352305353825365,0.9641193944464223,35.63075854681853,,32.462631340710374,36.241979366940356,raw_decile_mean,violation disposition per inspection (pp),5921.0,222.0,50.72351607927079,50.714431516636054,2020-01..2026-05
decile_04,33.790375741595255,0.8472142579654058,39.88409711463451,,32.12983579598306,35.45091568720745,raw_decile_mean,violation disposition per inspection (pp),7585.0,221.0,70.3289018884523,70.0,2020-01..2026-05
decile_05,31.97016780609074,0.688151013535766,46.45806978009939,,30.62139181956064,33.31894379262084,raw_decile_mean,violation disposition per inspection (pp),8045.0,222.0,99.064886896773,98.32562701415159,2020-01..2026-05
decile_06,33.998158944461494,0.6633883829044361,51.249252806645956,,32.6979177139688,35.29840017495419,raw_decile_mean,violation disposition per inspection (pp),9777.0,221.0,142.36118821312192,140.625,2020-01..2026-05
decile_07,33.494988684125445,0.7604442911182526,44.046604169873135,,32.00451787353367,34.98545949471722,raw_decile_mean,violation disposition per inspection (pp),12372.0,221.0,219.68242910817548,216.66666666666669,2020-01..2026-05
decile_08,32.75050437121722,0.8099249201902792,40.43646954772425,,31.16305152764427,34.337957214790165,raw_decile_mean,violation disposition per inspection (pp),13383.0,222.0,336.1976666361105,329.1911083667799,2020-01..2026-05
decile_09,31.479157032437076,0.6515184024020316,48.31660459072079,,30.202180963729095,32.75613310114506,raw_decile_mean,violation disposition per inspection (pp),15137.0,221.0,593.9760068122803,573.816155988858,2020-01..2026-05
decile_10,29.309930271699926,0.62022659262758,47.25681004345344,,28.09428615014987,30.525574393249983,raw_decile_mean,violation disposition per inspection (pp),12477.0,222.0,4528.814157485772,2012.3456790123457,2020-01..2026-05
decile_02,-1.3260823910478674,1.262808372076747,-1.0501057962318252,0.2937840818199815,-3.802495129318762,1.150330347223027,lpm_fe_decile,"violation disposition per inspection (pp), vs decile 01",91440.0,,,,2020-01..2026-05
decile_03,0.23230764042132435,1.3452327074919839,0.17268955707628647,0.862911237175664,-2.405742190760291,2.87035747160294,lpm_fe_decile,"violation disposition per inspection (pp), vs decile 01",91440.0,,,,2020-01..2026-05
decile_04,-0.3250575961394316,1.3259873136317017,-0.24514382060650516,0.8063677931202038,-2.9253665162196545,2.275251323940791,lpm_fe_decile,"violation disposition per inspection (pp), vs decile 01",91440.0,,,,2020-01..2026-05
decile_05,-1.959892223698642,1.1927814648644794,-1.6431276654029157,0.10049851670311383,-4.298979672656651,0.3791952252593671,lpm_fe_decile,"violation disposition per inspection (pp), vs decile 01",91440.0,,,,2020-01..2026-05
decile_06,0.47223963748761605,1.1851484601847528,0.3984645412389926,0.6903262134298065,-1.8518792141454714,2.7963584891207036,lpm_fe_decile,"violation disposition per inspection (pp), vs decile 01",91440.0,,,,2020-01..2026-05
decile_07,-0.1827545337959156,1.1833920708546146,-0.1544327854621631,0.8772825805051232,-2.5034290426397927,2.1379199750479616,lpm_fe_decile,"violation disposition per inspection (pp), vs decile 01",91440.0,,,,2020-01..2026-05
decile_08,-0.8321427798987665,1.3265293075635392,-0.6273082510534038,0.5305218818547295,-3.4335145696166527,1.7692290098191195,lpm_fe_decile,"violation disposition per inspection (pp), vs decile 01",91440.0,,,,2020-01..2026-05
decile_09,-2.7442626811426565,1.2058764859087723,-2.2757411005278256,0.022956658484142745,-5.109029938406563,-0.3794954238787507,lpm_fe_decile,"violation disposition per inspection (pp), vs decile 01",91440.0,,,,2020-01..2026-05
