group,slice,description,n,share_of_agency,warm_share,warm_caller_share,violation_disposition_rate,ecb_hit_rate,class1_share_of_ecb_hits,class1_rate_per_event,value
total,all_agency,all agency-initiated complaints 2020-01..2026-05,249707,1.0,0.7356,0.5279,0.3335,0.31,0.4534,0.1329,
main,statutory_periodic,cyclical/mandated families (statutory_periodic),68626,0.2748,0.7661,0.5296,0.1374,0.1535,0.5457,0.0792,
main,followup_family,re-inspections keyed to earlier enforcement (7R/4G/1L/2H),17360,0.0695,0.585,0.4626,0.3901,0.416,0.5313,0.1877,
main,discretionary_warm,"discretionary_field+mixed_incident+other, any DOB complaint at the BBL in the prior 730 days",120960,0.4844,1.0,0.7229,0.3942,0.3632,0.4265,0.1483,
main,discretionary_cold,"same pool, no DOB complaint at the BBL in the prior 730 days (de novo; includes 3 events without a BBL)",42761,0.1712,0.0,0.0,0.4537,0.3675,0.4359,0.1532,
family_detail,discretionary_field_warm,"discretionary_field family, warm building",77574,0.3107,1.0,0.6935,0.3091,0.3466,0.3634,0.121,
family_detail,discretionary_field_cold,"discretionary_field family, cold building",22068,0.0884,0.0,0.0,0.367,0.3765,0.3661,0.1333,
family_detail,mixed_incident_warm,"mixed_incident family, warm building",7091,0.0284,1.0,0.8057,0.4707,0.343,0.5399,0.1756,
family_detail,mixed_incident_cold,"mixed_incident family, cold building",5537,0.0222,0.0,0.0,0.6343,0.2561,0.7571,0.1824,
family_detail,other_warm,"other family, warm building",36295,0.1454,1.0,0.7694,0.5611,0.4028,0.5248,0.2012,
family_detail,other_cold,"other family, cold building",15156,0.0607,0.0,0.0,0.514,0.3952,0.4594,0.1716,
prefix_detail,prefix_8A,discretionary-pool category prefix,25932,0.1038,0.7979,0.5341,0.5733,0.7453,0.3137,0.2245,
prefix_detail,prefix_7G,discretionary-pool category prefix,25782,0.1032,0.7941,0.518,0.0882,0.1123,0.267,0.0291,
prefix_detail,prefix_1X,discretionary-pool category prefix,21773,0.0872,0.7779,0.5185,0.2668,0.1491,0.4808,0.0702,
prefix_detail,prefix_73,discretionary-pool category prefix,13079,0.0524,0.8206,0.5867,0.7863,0.2684,0.5518,0.143,
prefix_detail,prefix_30,discretionary-pool category prefix,6901,0.0276,0.4165,0.3337,0.6593,0.2624,0.7952,0.1963,
prefix_detail,prefix_91,discretionary-pool category prefix,6393,0.0256,0.8975,0.7325,0.2065,0.3396,0.6678,0.2176,
sensitivity_2022plus,statutory_periodic,"cyclical/mandated families (statutory_periodic); received 2022-01+, share of the 173,224 agency events in that window",48836,0.2819,0.8037,0.5773,0.1569,0.1532,0.5196,0.0748,
sensitivity_2022plus,followup_family,"re-inspections keyed to earlier enforcement (7R/4G/1L/2H); received 2022-01+, share of the 173,224 agency events in that window",13664,0.0789,0.644,0.5134,0.381,0.4145,0.5335,0.1804,
sensitivity_2022plus,discretionary_warm,"discretionary_field+mixed_incident+other, any DOB complaint at the BBL in the prior 730 days; received 2022-01+, share of the 173,224 agency events in that window",85877,0.4958,1.0,0.7437,0.4039,0.3256,0.3675,0.1137,
sensitivity_2022plus,discretionary_cold,"same pool, no DOB complaint at the BBL in the prior 730 days (de novo; includes 3 events without a BBL); received 2022-01+, share of the 173,224 agency events in that window",24847,0.1434,0.0,0.0,0.4597,0.3126,0.3616,0.1073,
cold_warm_reweight,raw_pooled_gap_pp,"cold minus warm violation rate, pooled discretionary slice (pp); ~2/3 of it is category mix, see the reweighted rows",163721,,,,,,,,5.9535
cold_warm_reweight,within_prefix_pooled_mix_pp,within-prefix cold-minus-warm gap (pp) at pooled category weights; 51 prefixes with >=30 cold and >=30 warm events,161173,,,,,,,,2.0924
cold_warm_reweight,within_prefix_warm_mix_pp,within-prefix cold-minus-warm gap (pp) at warm-slice category weights,118911,,,,,,,,2.3001
cold_warm_reweight,within_prefix_cold_mix_pp,within-prefix cold-minus-warm gap (pp) at cold-slice category weights,42262,,,,,,,,1.5079
same_day_inspection,cold_same_day_share,share of cold rows (with a dated inspection) inspected the day the complaint was received; record-opened-at-inspection documentation,42612,,,,,,,,0.4031
same_day_inspection,cold_same_day_violation_rate,violation-disposition rate of same-day cold rows,17179,,,,,,,,0.7195
same_day_inspection,cold_after_receipt_violation_rate,violation-disposition rate of cold rows inspected strictly after receipt,24450,,,,,,,,0.2607
same_day_inspection,warm_same_day_share,share of warm rows (with a dated inspection) inspected the day the complaint was received; record-opened-at-inspection documentation,120624,,,,,,,,0.4196
same_day_inspection,warm_same_day_violation_rate,violation-disposition rate of same-day warm rows,50610,,,,,,,,0.6316
same_day_inspection,warm_after_receipt_violation_rate,violation-disposition rate of warm rows inspected strictly after receipt,65186,,,,,,,,0.1817
