geo,month,active_jobs,monitoring_events,monitoring_per_100_jobs,ecb_site_safety,ecb_cranes,idx_active_jobs_2020avg100,idx_monitoring_2020avg100
Citywide,2020-01,3770,1684,44.668435013262595,128,49,21.008832625918323,178.12252093433233
Citywide,2020-02,7453,1233,16.543673688447605,125,37,41.53284603739238,130.41868664609962
Citywide,2020-03,10685,1150,10.762751520823583,140,65,59.54360122226454,121.63948876156898
Citywide,2020-04,10967,452,4.121455274915656,33,31,61.115084193221826,47.80960775672102
Citywide,2020-05,11766,519,4.411014788373279,56,50,65.5676192776008,54.89643014543852
Citywide,2020-06,15489,659,4.254632319710763,77,48,86.31453807502625,69.70471573380344
Citywide,2020-07,19078,993,5.20494810776811,46,49,106.31472382951455,105.03305420890261
Citywide,2020-08,22200,1023,4.608108108108108,108,48,123.71248920302038,108.20625826355223
Citywide,2020-09,25192,1150,4.564941251190854,125,29,140.38581207218422,121.63948876156898
Citywide,2020-10,27871,784,2.812959707222561,66,36,155.3149002962784,82.92639929484355
Citywide,2020-11,29796,664,2.2284870452409717,60,25,166.04222199518895,70.23358307624504
Citywide,2020-12,31071,1034,3.327861993498761,89,28,173.14733117238947,109.36976641692375
Citywide,2021-01,32714,821,2.5096289050559393,58,9,182.3031699003427,86.84001762891141
Citywide,2021-02,34374,874,2.542619421655903,41,28,191.55374341732534,92.44601145879243
Citywide,2021-03,37387,1280,3.423649931794474,67,53,208.34409161411364,135.3900396650507
Citywide,2021-04,40485,955,2.358898357416327,35,25,225.60811375604865,101.01366240634641
Citywide,2021-05,43872,1166,2.6577315827862873,81,37,244.48262731148245,123.33186425738212
Citywide,2021-06,47360,2593,5.47508445945946,129,33,263.91997696644347,274.270603790216
Citywide,2021-07,50908,1751,3.4395379900997876,158,46,283.6916847003316,185.2093433230498
Citywide,2021-08,54326,1387,2.553105327099363,90,48,302.73894992987766,146.707800793301
Citywide,2021-09,57628,1066,1.8497952384257652,84,24,321.13978954016477,112.75451740855003
Citywide,2021-10,61163,1080,1.7657734251099522,107,28,340.8390530236187,114.23534596738651
Citywide,2021-11,63724,1122,1.7607180967924172,77,21,355.1105703591563,118.677831643896
