block,split,series,month,n_at_risk,n_events,hazard_per100,se_per100,ci_low_per100,ci_high_per100,n_jobs,months_used,peak_month,peak_per100,peak_month_ma3,wmean_month,h_avg_m0_5,h_avg_m6_11,h_avg_m12_23,h_avg_m24_36,front_ratio_0_5_over_24_36
hazard,all,monitoring,0.0,349235.0,17580.0,5.033859721963721,0.13077028212441505,4.7775499689998675,5.290169474927575,,,,,,,,,,,
hazard,all,monitoring,1.0,346198.0,19091.0,5.514474375935158,0.14725297856014888,5.225858537957267,5.80309021391305,,,,,,,,,,,
hazard,all,monitoring,2.0,342358.0,19313.0,5.64117093802394,0.14567722426243152,5.355643578469574,5.926698297578306,,,,,,,,,,,
hazard,all,monitoring,3.0,337975.0,19580.0,5.793327908868999,0.14129757265180315,5.516384666471465,6.0702711512665335,,,,,,,,,,,
hazard,all,monitoring,4.0,334212.0,18340.0,5.487534858114011,0.1360173938889125,5.220940766091743,5.75412895013628,,,,,,,,,,,
hazard,all,monitoring,5.0,329672.0,18415.0,5.5858550316678395,0.1510546553381334,5.289787907205098,5.881922156130581,,,,,,,,,,,
hazard,all,monitoring,6.0,324894.0,17515.0,5.390989061047604,0.15185887620377292,5.093345663688209,5.688632458406999,,,,,,,,,,,
hazard,all,monitoring,7.0,309157.0,16436.0,5.316392641926271,0.1464183370985412,5.02941270121313,5.603372582639412,,,,,,,,,,,
hazard,all,monitoring,8.0,283466.0,15150.0,5.34455631363197,0.18179666357432234,4.988234853026298,5.700877774237642,,,,,,,,,,,
hazard,all,monitoring,9.0,259773.0,13325.0,5.129478429243994,0.15005062616655795,4.83537920195754,5.423577656530448,,,,,,,,,,,
hazard,all,monitoring,10.0,238175.0,12370.0,5.193660123858508,0.1436154164138646,4.912173907687333,5.475146340029682,,,,,,,,,,,
hazard,all,monitoring,11.0,217952.0,11669.0,5.353931140801644,0.1809668274288456,4.999236159041107,5.7086261225621815,,,,,,,,,,,
hazard,all,monitoring,12.0,198399.0,10477.0,5.280772584539236,0.19202531498966754,4.904402967159488,5.657142201918985,,,,,,,,,,,
hazard,all,monitoring,13.0,147955.0,8235.0,5.56588151802913,0.22503043010575793,5.124821875021844,6.006941161036416,,,,,,,,,,,
hazard,all,monitoring,14.0,135565.0,7784.0,5.741895031903515,0.2517071823420191,5.248548954513158,6.235241109293872,,,,,,,,,,,
hazard,all,monitoring,15.0,124349.0,7186.0,5.778896492935207,0.2388915470739681,5.31066906067023,6.247123925200184,,,,,,,,,,,
hazard,all,monitoring,16.0,114358.0,6588.0,5.760856258416552,0.2418505893658183,5.286829103259548,6.234883413573556,,,,,,,,,,,
hazard,all,monitoring,17.0,104981.0,6315.0,6.015374210571436,0.3625860711347993,5.30470551114723,6.726042909995643,,,,,,,,,,,
hazard,all,monitoring,18.0,96597.0,5196.0,5.379049038790025,0.2675030193411923,4.854743120881288,5.903354956698761,,,,,,,,,,,
hazard,all,monitoring,19.0,88941.0,4582.0,5.151729798405684,0.23452084091646225,4.692068950209419,5.61139064660195,,,,,,,,,,,
hazard,all,monitoring,20.0,81569.0,4024.0,4.933246699113634,0.1988797880523165,4.543442314531093,5.323051083696175,,,,,,,,,,,
hazard,all,monitoring,21.0,74909.0,4035.0,5.386535663271436,0.23957626058644746,4.916966192522,5.856105134020873,,,,,,,,,,,
hazard,all,monitoring,22.0,68901.0,3580.0,5.195860727710774,0.21925894507405663,4.766113195365623,5.625608260055925,,,,,,,,,,,
hazard,all,monitoring,23.0,63228.0,3439.0,5.4390459922819,0.34009392185057924,4.772461905454765,6.105630079109035,,,,,,,,,,,
hazard,all,monitoring,24.0,57749.0,2807.0,4.860690228402223,0.2139227382251239,4.44140166148098,5.2799787953234665,,,,,,,,,,,
hazard,all,monitoring,25.0,51608.0,2758.0,5.344132692605798,0.33516750855814975,4.687204375831824,6.001061009379772,,,,,,,,,,,
hazard,all,monitoring,26.0,47025.0,2383.0,5.067517278043594,0.2846845374008798,4.509535584737869,5.625498971349319,,,,,,,,,,,
hazard,all,monitoring,27.0,43003.0,2121.0,4.932214031579192,0.24440145651383488,4.453187176812076,5.411240886346308,,,,,,,,,,,
hazard,all,monitoring,28.0,39518.0,1945.0,4.921807783794726,0.28456101388741534,4.364068196575392,5.4795473710140605,,,,,,,,,,,
hazard,all,monitoring,29.0,36214.0,1900.0,5.246589716684155,0.3524127182284041,4.555860788956483,5.937318644411826,,,,,,,,,,,
hazard,all,monitoring,30.0,33213.0,1631.0,4.910727727094812,0.4032410567611904,4.1203752558428794,5.701080198346745,,,,,,,,,,,
hazard,all,monitoring,31.0,30528.0,1503.0,4.923349056603773,0.3898008652546697,4.159339360704621,5.687358752502925,,,,,,,,,,,
hazard,all,monitoring,32.0,27986.0,1260.0,4.502251125562781,0.31533418959424697,3.8841961139580565,5.120306137167505,,,,,,,,,,,
hazard,all,monitoring,33.0,25691.0,1122.0,4.367288155385155,0.2766917990120048,3.8249722293216255,4.909604081448684,,,,,,,,,,,
hazard,all,monitoring,34.0,23518.0,1003.0,4.264818436941916,0.23925440403650913,3.7958798050303586,4.733757068853475,,,,,,,,,,,
hazard,all,monitoring,35.0,21436.0,849.0,3.9606269826460165,0.27288811759732495,3.4257662721552595,4.4954876931367735,,,,,,,,,,,
hazard,all,monitoring,36.0,19581.0,842.0,4.3000868188550125,0.31715929678662214,3.678454597153233,4.921719040556792,,,,,,,,,,,
hazard,all,monitoring_discretionary,0.0,349235.0,16952.0,4.854038111873094,0.12918580084001816,4.600833942226658,5.10724228151953,,,,,,,,,,,
hazard,all,monitoring_discretionary,1.0,346198.0,18409.0,5.317477281786723,0.1439451539477518,5.0353447800491296,5.599609783524317,,,,,,,,,,,
hazard,all,monitoring_discretionary,2.0,342358.0,18677.0,5.455400487209296,0.14354062209346244,5.1740608679061095,5.736740106512483,,,,,,,,,,,
hazard,all,monitoring_discretionary,3.0,337975.0,19056.0,5.638286855536652,0.14032244754036385,5.363254858357539,5.913318852715765,,,,,,,,,,,
hazard,all,monitoring_discretionary,4.0,334212.0,17631.0,5.275394061254533,0.1326693565086342,5.01536212249761,5.535426000011457,,,,,,,,,,,
hazard,all,monitoring_discretionary,5.0,329672.0,17763.0,5.388082700380985,0.15019406866664867,5.093702325794354,5.682463074967616,,,,,,,,,,,
hazard,all,monitoring_discretionary,6.0,324894.0,17026.0,5.240478432965829,0.15134485279182425,4.9438425214938535,5.537114344437804,,,,,,,,,,,
hazard,all,monitoring_discretionary,7.0,309157.0,15846.0,5.125551095398131,0.14146955221095217,4.848270773064665,5.402831417731597,,,,,,,,,,,
hazard,all,monitoring_discretionary,8.0,283466.0,14618.0,5.156879484664827,0.17998342187562627,4.8041119777886,5.509646991541055,,,,,,,,,,,
hazard,all,monitoring_discretionary,9.0,259773.0,12893.0,4.963179391237735,0.14915989348890024,4.67082599999949,5.25553278247598,,,,,,,,,,,
hazard,all,monitoring_discretionary,10.0,238175.0,12000.0,5.038312165424583,0.14307021925170763,4.757894535691236,5.31872979515793,,,,,,,,,,,
hazard,all,monitoring_discretionary,11.0,217952.0,11238.0,5.156181177506975,0.17987188526348863,4.803632282390537,5.508730072623412,,,,,,,,,,,
hazard,all,monitoring_discretionary,12.0,198399.0,10142.0,5.111920927020801,0.1909908829341974,4.737578796469774,5.486263057571828,,,,,,,,,,,
hazard,all,monitoring_discretionary,13.0,147955.0,8031.0,5.428001757291068,0.2236283809269805,4.9896901306741865,5.86631338390795,,,,,,,,,,,
hazard,all,monitoring_discretionary,14.0,135565.0,7616.0,5.617969239848043,0.2510703675565058,5.125871319437292,6.110067160258795,,,,,,,,,,,
hazard,all,monitoring_discretionary,15.0,124349.0,6992.0,5.622883979766625,0.23806108714281388,5.15628424896671,6.08948371056654,,,,,,,,,,,
hazard,all,monitoring_discretionary,16.0,114358.0,6429.0,5.621819199356407,0.24087469205081022,5.149704802936819,6.0939335957759955,,,,,,,,,,,
hazard,all,monitoring_discretionary,17.0,104981.0,6155.0,5.86296567950391,0.36224444175143167,5.152966573671104,6.572964785336716,,,,,,,,,,,
hazard,all,monitoring_discretionary,18.0,96597.0,5062.0,5.240328374587203,0.2670747380815542,4.716861887947356,5.7637948612270495,,,,,,,,,,,
hazard,all,monitoring_discretionary,19.0,88941.0,4419.0,4.968462239012379,0.23085943178875945,4.51597775270641,5.420946725318348,,,,,,,,,,,
hazard,all,monitoring_discretionary,20.0,81569.0,3929.0,4.816780884894997,0.19852317884385143,4.427675454361048,5.205886315428946,,,,,,,,,,,
hazard,all,monitoring_discretionary,21.0,74909.0,3851.0,5.140904297213953,0.23233546764811175,4.685526780623654,5.596281813804252,,,,,,,,,,,
hazard,all,monitoring_discretionary,22.0,68901.0,3461.0,5.023149156035471,0.21489168891750354,4.601961445757164,5.444336866313778,,,,,,,,,,,
hazard,all,monitoring_discretionary,23.0,63228.0,3279.0,5.18599354716265,0.3269887322627095,4.545095631927739,5.826891462397561,,,,,,,,,,,
hazard,all,monitoring_discretionary,24.0,57749.0,2729.0,4.725622954510035,0.21325037870327423,4.307652212251617,5.143593696768453,,,,,,,,,,,
