bct2020,boroname,ntaname,panel_lots,scored_lots,n_disc_events,disc_per_1000,n_highrisk,n_hr_never_swept,hr_never_swept_per_1000,ok_a,ok_b,window
1000100,Manhattan,The Battery-Governors Island-Ellis Island-Liberty Island,,,,,,,,,,
1002201,Manhattan,Lower East Side,78.0,78.0,32.0,410.2564102564102,54.0,51.0,653.8461538461538,False,False,2020-01..2026-05
1002602,Manhattan,East Village,160.0,160.0,69.0,431.25,110.0,101.0,631.25,False,False,2020-01..2026-05
1002800,Manhattan,East Village,129.0,129.0,79.0,612.4031007751938,104.0,91.0,705.4263565891473,False,False,2020-01..2026-05
1003400,Manhattan,East Village,299.0,299.0,174.0,581.9397993311036,224.0,209.0,698.9966555183946,True,True,2020-01..2026-05
1003601,Manhattan,Lower East Side,73.0,73.0,37.0,506.8493150684932,57.0,50.0,684.931506849315,False,False,2020-01..2026-05
1003602,Manhattan,East Village,107.0,107.0,43.0,401.86915887850466,73.0,70.0,654.2056074766355,False,False,2020-01..2026-05
1004001,Manhattan,East Village,139.0,139.0,86.0,618.7050359712231,94.0,87.0,625.8992805755396,False,False,2020-01..2026-05
1004002,Manhattan,East Village,135.0,135.0,41.0,303.7037037037037,78.0,73.0,540.7407407407408,False,False,2020-01..2026-05
1004100,Manhattan,SoHo-Little Italy-Hudson Square,267.0,267.0,174.0,651.685393258427,200.0,188.0,704.119850187266,True,True,2020-01..2026-05
1004300,Manhattan,SoHo-Little Italy-Hudson Square,187.0,187.0,94.0,502.67379679144386,143.0,136.0,727.2727272727273,False,False,2020-01..2026-05
1005400,Manhattan,Midtown South-Flatiron-Union Square,115.0,115.0,114.0,991.304347826087,97.0,91.0,791.304347826087,False,False,2020-01..2026-05
1005501,Manhattan,Greenwich Village,11.0,11.0,54.0,4909.090909090909,11.0,6.0,545.4545454545454,False,False,2020-01..2026-05
1005502,Manhattan,Greenwich Village,118.0,118.0,75.0,635.593220338983,106.0,93.0,788.135593220339,False,False,2020-01..2026-05
1005800,Manhattan,Midtown South-Flatiron-Union Square,69.0,69.0,92.0,1333.3333333333333,67.0,61.0,884.0579710144928,False,False,2020-01..2026-05
1006700,Manhattan,West Village,337.0,337.0,115.0,341.24629080118694,144.0,131.0,388.7240356083086,True,True,2020-01..2026-05
1006800,Manhattan,Gramercy,136.0,136.0,58.0,426.4705882352941,107.0,102.0,750.0,False,False,2020-01..2026-05
1007001,Manhattan,Murray Hill-Kips Bay,43.0,43.0,18.0,418.60465116279073,30.0,27.0,627.9069767441861,False,False,2020-01..2026-05
1007002,Manhattan,Murray Hill-Kips Bay,163.0,163.0,43.0,263.80368098159505,70.0,63.0,386.50306748466255,False,False,2020-01..2026-05
1007200,Manhattan,Murray Hill-Kips Bay,182.0,182.0,96.0,527.4725274725275,123.0,114.0,626.3736263736264,False,False,2020-01..2026-05
1007300,Manhattan,West Village,412.0,412.0,147.0,356.79611650485435,178.0,167.0,405.3398058252427,True,True,2020-01..2026-05
1007700,Manhattan,West Village,333.0,333.0,135.0,405.4054054054054,146.0,135.0,405.4054054054054,True,True,2020-01..2026-05
1007800,Manhattan,Murray Hill-Kips Bay,110.0,110.0,97.0,881.8181818181819,86.0,81.0,736.3636363636364,False,False,2020-01..2026-05
1008000,Manhattan,Murray Hill-Kips Bay,210.0,210.0,105.0,500.0,121.0,112.0,533.3333333333334,True,True,2020-01..2026-05
1008100,Manhattan,Chelsea-Hudson Yards,225.0,225.0,102.0,453.3333333333333,151.0,137.0,608.8888888888889,True,True,2020-01..2026-05
1008300,Manhattan,Chelsea-Hudson Yards,81.0,81.0,59.0,728.395061728395,54.0,46.0,567.9012345679012,False,False,2020-01..2026-05
1008900,Manhattan,Chelsea-Hudson Yards,296.0,296.0,89.0,300.6756756756757,125.0,114.0,385.13513513513516,True,True,2020-01..2026-05
1009200,Manhattan,East Midtown-Turtle Bay,25.0,25.0,66.0,2640.0,22.0,21.0,840.0,False,False,2020-01..2026-05
1009300,Manhattan,Chelsea-Hudson Yards,164.0,164.0,54.0,329.26829268292687,92.0,85.0,518.2926829268292,False,False,2020-01..2026-05
1009500,Manhattan,Midtown South-Flatiron-Union Square,81.0,81.0,164.0,2024.6913580246915,73.0,63.0,777.7777777777778,False,False,2020-01..2026-05
1009600,Manhattan,Midtown-Times Square,22.0,22.0,140.0,6363.636363636363,19.0,19.0,863.6363636363636,False,False,2020-01..2026-05
1009902,Manhattan,Chelsea-Hudson Yards,28.0,28.0,71.0,2535.714285714286,24.0,19.0,678.5714285714286,False,False,2020-01..2026-05
1010000,Manhattan,East Midtown-Turtle Bay,33.0,33.0,144.0,4363.636363636363,29.0,24.0,727.2727272727273,False,False,2020-01..2026-05
1010100,Manhattan,Midtown South-Flatiron-Union Square,13.0,13.0,108.0,8307.692307692309,12.0,11.0,846.1538461538462,False,False,2020-01..2026-05
1010200,Manhattan,Midtown-Times Square,11.0,11.0,88.0,8000.0,9.0,8.0,727.2727272727273,False,False,2020-01..2026-05
1010400,Manhattan,Midtown-Times Square,40.0,40.0,88.0,2200.0,34.0,31.0,775.0,False,False,2020-01..2026-05
1010801,Manhattan,East Midtown-Turtle Bay,52.0,52.0,32.0,615.3846153846155,38.0,36.0,692.3076923076923,False,False,2020-01..2026-05
1010802,Manhattan,East Midtown-Turtle Bay,66.0,66.0,45.0,681.8181818181818,50.0,50.0,757.5757575757576,False,False,2020-01..2026-05
1010803,Manhattan,East Midtown-Turtle Bay,45.0,45.0,9.0,200.0,33.0,33.0,733.3333333333333,False,False,2020-01..2026-05
1010900,Manhattan,Midtown-Times Square,5.0,5.0,118.0,23600.0,5.0,5.0,1000.0,False,False,2020-01..2026-05
1011201,Manhattan,Midtown-Times Square,15.0,15.0,69.0,4600.0,15.0,12.0,800.0,False,False,2020-01..2026-05
1011202,Manhattan,Midtown-Times Square,7.0,7.0,60.0,8571.42857142857,7.0,5.0,714.2857142857143,False,False,2020-01..2026-05
1011203,Manhattan,East Midtown-Turtle Bay,16.0,16.0,57.0,3562.5,16.0,12.0,750.0,False,False,2020-01..2026-05
1011300,Manhattan,Midtown-Times Square,5.0,5.0,82.0,16400.0,5.0,5.0,1000.0,False,False,2020-01..2026-05
1011402,Manhattan,Upper East Side-Carnegie Hill,140.0,140.0,60.0,428.57142857142856,71.0,61.0,435.7142857142857,False,False,2020-01..2026-05
1011800,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,126.0,126.0,53.0,420.63492063492066,69.0,61.0,484.12698412698415,False,False,2020-01..2026-05
1011900,Manhattan,Midtown-Times Square,17.0,17.0,89.0,5235.294117647059,16.0,13.0,764.7058823529411,False,False,2020-01..2026-05
1012000,Manhattan,Upper East Side-Carnegie Hill,209.0,209.0,97.0,464.11483253588517,87.0,75.0,358.8516746411483,True,True,2020-01..2026-05
1012101,Manhattan,Hell's Kitchen,86.0,86.0,35.0,406.9767441860465,61.0,57.0,662.7906976744185,False,False,2020-01..2026-05
1012102,Manhattan,Hell's Kitchen,137.0,137.0,38.0,277.37226277372264,74.0,68.0,496.35036496350364,False,False,2020-01..2026-05
1012200,Manhattan,Upper East Side-Carnegie Hill,230.0,230.0,129.0,560.8695652173913,148.0,130.0,565.2173913043478,True,True,2020-01..2026-05
1012500,Manhattan,Midtown-Times Square,16.0,16.0,115.0,7187.5,15.0,10.0,625.0,False,False,2020-01..2026-05
1012601,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,98.0,98.0,28.0,285.7142857142857,64.0,61.0,622.4489795918367,False,False,2020-01..2026-05
1012602,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,104.0,104.0,51.0,490.38461538461536,58.0,56.0,538.4615384615385,False,False,2020-01..2026-05
1012700,Manhattan,Hell's Kitchen,283.0,283.0,129.0,455.8303886925795,181.0,176.0,621.9081272084806,True,True,2020-01..2026-05
1013000,Manhattan,Upper East Side-Carnegie Hill,223.0,223.0,83.0,372.1973094170404,142.0,125.0,560.5381165919282,True,True,2020-01..2026-05
1013100,Manhattan,Midtown-Times Square,20.0,20.0,39.0,1950.0,18.0,18.0,900.0,False,False,2020-01..2026-05
1013201,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,65.0,65.0,33.0,507.6923076923077,45.0,43.0,661.5384615384615,False,False,2020-01..2026-05
1013202,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,18.0,18.0,2.0,111.1111111111111,18.0,18.0,1000.0,False,False,2020-01..2026-05
1013300,Manhattan,Hell's Kitchen,198.0,198.0,84.0,424.24242424242425,145.0,140.0,707.070707070707,False,False,2020-01..2026-05
1013601,Manhattan,Upper East Side-Yorkville,13.0,13.0,15.0,1153.8461538461538,13.0,10.0,769.2307692307693,False,False,2020-01..2026-05
1013602,Manhattan,Upper East Side-Yorkville,53.0,53.0,35.0,660.377358490566,41.0,37.0,698.1132075471697,False,False,2020-01..2026-05
1014801,Manhattan,Upper East Side-Carnegie Hill,44.0,44.0,35.0,795.4545454545454,35.0,29.0,659.090909090909,False,False,2020-01..2026-05
1014900,Manhattan,Upper West Side-Lincoln Square,35.0,35.0,53.0,1514.2857142857142,34.0,30.0,857.1428571428571,False,False,2020-01..2026-05
1015001,Manhattan,Upper East Side-Carnegie Hill,34.0,34.0,43.0,1264.7058823529412,26.0,25.0,735.2941176470589,False,False,2020-01..2026-05
1015002,Manhattan,Upper East Side-Carnegie Hill,75.0,75.0,67.0,893.3333333333333,56.0,44.0,586.6666666666666,False,False,2020-01..2026-05
1015101,Manhattan,Upper West Side-Lincoln Square,9.0,9.0,13.0,1444.4444444444443,9.0,8.0,888.8888888888888,False,False,2020-01..2026-05
1015301,Manhattan,Upper West Side-Lincoln Square,127.0,127.0,61.0,480.31496062992125,79.0,70.0,551.1811023622048,False,False,2020-01..2026-05
1015302,Manhattan,Upper West Side-Lincoln Square,62.0,62.0,23.0,370.9677419354839,38.0,31.0,500.0,False,False,2020-01..2026-05
1015401,Manhattan,Upper East Side-Yorkville,108.0,108.0,20.0,185.18518518518516,68.0,66.0,611.1111111111112,False,False,2020-01..2026-05
1015402,Manhattan,Upper East Side-Yorkville,93.0,93.0,25.0,268.81720430107526,53.0,48.0,516.1290322580645,False,False,2020-01..2026-05
1015403,Manhattan,Upper East Side-Yorkville,8.0,8.0,24.0,3000.0,8.0,7.0,875.0,False,False,2020-01..2026-05
1015501,Manhattan,Upper West Side-Lincoln Square,11.0,11.0,7.0,636.3636363636364,11.0,10.0,909.090909090909,False,False,2020-01..2026-05
1015700,Manhattan,Upper West Side-Lincoln Square,298.0,298.0,107.0,359.0604026845637,196.0,173.0,580.5369127516778,True,True,2020-01..2026-05
1015801,Manhattan,Upper East Side-Carnegie Hill,212.0,212.0,56.0,264.1509433962264,73.0,71.0,334.90566037735846,True,True,2020-01..2026-05
1015802,Manhattan,East Harlem (South),49.0,49.0,18.0,367.34693877551024,32.0,32.0,653.0612244897959,False,False,2020-01..2026-05
1016001,Manhattan,Upper East Side-Carnegie Hill,160.0,160.0,70.0,437.5,80.0,69.0,431.25,False,False,2020-01..2026-05
1016100,Manhattan,Upper West Side (Central),317.0,317.0,71.0,223.97476340694007,146.0,140.0,441.64037854889585,True,True,2020-01..2026-05
1016400,Manhattan,East Harlem (South),41.0,41.0,41.0,1000.0,36.0,35.0,853.6585365853658,False,False,2020-01..2026-05
1016500,Manhattan,Upper West Side (Central),205.0,205.0,93.0,453.6585365853659,111.0,103.0,502.4390243902439,True,True,2020-01..2026-05
1016600,Manhattan,East Harlem (South),195.0,195.0,55.0,282.05128205128204,136.0,134.0,687.1794871794872,False,False,2020-01..2026-05
1016900,Manhattan,Upper West Side (Central),306.0,306.0,67.0,218.95424836601308,160.0,154.0,503.26797385620915,True,True,2020-01..2026-05
1017100,Manhattan,Upper West Side (Central),178.0,178.0,72.0,404.4943820224719,105.0,94.0,528.0898876404494,False,False,2020-01..2026-05
1017200,Manhattan,East Harlem (South),181.0,181.0,97.0,535.9116022099447,118.0,114.0,629.8342541436464,False,False,2020-01..2026-05
1017300,Manhattan,Upper West Side (Central),334.0,334.0,59.0,176.64670658682635,142.0,134.0,401.1976047904192,True,True,2020-01..2026-05
1017401,Manhattan,East Harlem (South),29.0,29.0,11.0,379.31034482758616,23.0,23.0,793.1034482758621,False,False,2020-01..2026-05
1017402,Manhattan,East Harlem (South),17.0,17.0,36.0,2117.6470588235293,16.0,13.0,764.7058823529411,False,False,2020-01..2026-05
1017500,Manhattan,Upper West Side (Central),180.0,180.0,86.0,477.7777777777778,108.0,93.0,516.6666666666667,False,False,2020-01..2026-05
1017700,Manhattan,Upper West Side (Central),119.0,119.0,76.0,638.655462184874,65.0,58.0,487.39495798319325,False,False,2020-01..2026-05
1018000,Manhattan,East Harlem (North),164.0,164.0,43.0,262.1951219512195,101.0,98.0,597.560975609756,False,False,2020-01..2026-05
1018100,Manhattan,Upper West Side (Central),172.0,172.0,62.0,360.4651162790697,76.0,67.0,389.5348837209303,False,False,2020-01..2026-05
1018400,Manhattan,East Harlem (North),133.0,133.0,35.0,263.1578947368421,52.0,49.0,368.4210526315789,False,False,2020-01..2026-05
1018600,Manhattan,Harlem (South),19.0,19.0,12.0,631.578947368421,18.0,17.0,894.7368421052631,False,False,2020-01..2026-05
1018700,Manhattan,Upper West Side-Manhattan Valley,151.0,151.0,66.0,437.0860927152318,86.0,79.0,523.1788079470199,False,False,2020-01..2026-05
1019300,Manhattan,Upper West Side-Manhattan Valley,162.0,162.0,51.0,314.81481481481484,118.0,113.0,697.5308641975308,False,False,2020-01..2026-05
