outcome,outcome_label,conv_def,conv_def_label,term,b,se,t,p,ci_lo,ci_hi,irr,irr_lo,irr_hi,n_obs,n_jobs_sample,n_events,fe,offset,cluster,window,unit
n_disc,discretionary_field+followup (agency),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",conversion,0.4196627942629236,0.10243919258881821,4.09670150317772,4.1907871155988374e-05,0.2188856661834774,0.6204399223423698,1.521448427970125,1.2446889585127858,1.8597460057319104,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",log_cost,0.09870227807583694,0.0037367583325758325,26.413877829717507,0.0,0.09137836632505836,0.10602618982661552,1.1037376437422224,1.0956834965767688,1.1118509953100104,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",log_floor,0.06812245531478718,0.003976605329256995,17.130806221475204,0.0,0.06032845208871342,0.07591645854086093,1.0704963884251157,1.0621853662590905,1.078872439814512,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",floor_missing,-0.8416001736470258,0.08911939959769442,-9.443512607201166,0.0,-1.0162709871823403,-0.6669293601117112,0.43102026404107324,0.3619421135793196,0.5132822654342022,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_new_building,1.1178177168753196,0.03744646035839218,29.851091563179054,0.0,1.0444240032243641,1.191211430526275,3.0581731163486747,2.8417612068601623,3.291065690875264,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_alteration_co,0.7816900824642159,0.030793104788675633,25.38523113627982,0.0,0.7213367061062438,0.842043458822188,2.185162250831713,2.0571812202928896,2.3211052168656727,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_altco_existing,1.2746298959927937,0.04506951660378045,28.281419283868626,0.0,1.186295266648754,1.3629645253368334,3.57737716343872,3.2749259778505833,3.907760803159365,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion,"non-residential-to-residential conversion, any size (Alt-CO family, 0 existing units, >0 proposed)",jt_full_demolition,1.5580357374461096,0.06526841430874808,23.871205604535152,0.0,1.4301119960729245,1.6859594788192946,4.749482845302476,4.179167216030616,5.397627357741326,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_ge10,non-residential-to-residential conversion (10+ units),conversion_ge10,0.7157103492577859,0.14485390844932855,4.940911549570988,7.775817920663286e-07,0.43180190567723964,0.9996187928383321,2.045639284617497,1.5400300137400926,2.7172457974423727,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_ge10,non-residential-to-residential conversion (10+ units),log_cost,0.0984078801674818,0.00373433827183635,26.35216014297762,0.0,0.091088711648593,0.10572704868637059,1.10341275351438,1.0953661726874524,1.1115184446777584,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_ge10,non-residential-to-residential conversion (10+ units),log_floor,0.06787553032663586,0.003973021123975537,17.084110103778496,0.0,0.060088552013826964,0.07566250863944476,1.0702320887495278,1.061930578473208,1.0785984950503757,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
n_disc,discretionary_field+followup (agency),conversion_ge10,non-residential-to-residential conversion (10+ units),floor_missing,-0.8436007922915358,0.08909808200457812,-9.468226176273795,0.0,-1.0182298241121053,-0.6689717604709664,0.43015881886363866,0.3612338219411909,0.5122350073750425,389925,406769,56275,nta^first_permit_quarter,log(active months),bbl,2020-01..2026-05,base project (Critic B collapse)
