term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n,note,label,viol_agency_pct,viol_caller_pct,ecb_agency_pct,ecb_caller_pct,noaccess_agency_pct,noaccess_caller_pct,n_agency,n_caller,viol_agency_pct_matched,viol_caller_pct_matched,n_agency_matched,n_caller_matched,agency_share,window
agency,26.409864924665815,0.4010682907508453,65.84879815660209,0.0,25.623354575390927,27.196375273940703,lpm_pooled_headline,violation disposition per 100 events (pp),201565.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,27.200977975655327,0.3609300856642356,75.36356501175612,0.0,26.493189114820613,27.90876683649004,lpm_pooled_full_no_sizebin,violation disposition per 100 events (pp),232081.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,23.96625050608659,0.45038854350821866,53.2123892837191,0.0,23.08301970432024,24.849481307852937,lpm_pooled_substantive,violation per 100 substantive inspections (pp),117862.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,14.302285485889483,0.4307413809616738,33.203880839027306,0.0,13.457585065038273,15.146985906740692,lpm_pooled_ecb,linked ECB citation per 100 events (pp),201565.0,all records (includes same-day documentation); includes citations issued before receipt,,,,,,,,,,,,,,,2020-01..2026-05
agency,8.312882674355802,0.4461984200784365,18.630461920717902,0.0,7.4378695348921395,9.187895813819463,lpm_pooled_lead_only,violation disposition per 100 events (pp),168102.0,inspection strictly after receipt; the surviving lead-like headline,,,,,,,,,,,,,,,2020-01..2026-05
agency,42.92652867290901,0.733933936097553,58.488273346721634,0.0,41.48719187219576,44.36586547362226,lpm_pooled_sameday_only,violation disposition per 100 events (pp),27617.0,inspected the day the record was received; documentation channel,,,,,,,,,,,,,,,2020-01..2026-05
agency,10.861678884394383,0.38420666525585123,28.270407222533123,0.0,10.108234831466637,11.615122937322129,lpm_pooled_ecb_scrubbed,ECB citation issued on/after receipt per 100 events (pp),201565.0,citations issued before receipt dropped from the outcome,,,,,,,,,,,,,,,2020-01..2026-05
agency,8.517415342845904,0.43169169522121675,19.730320126916563,0.0,7.670850477265462,9.363980208426346,lpm_pooled_ecb_scrubbed_lead_only,ECB citation issued on/after receipt per 100 events (pp),168102.0,"scrubbed ECB outcome, inspection after receipt only",,,,,,,,,,,,,,,2020-01..2026-05
agency,22.37664136276398,0.42310596098271114,52.88661334572483,0.0,21.54734558976402,23.20593713576394,lpm_pooled_withinbbl,violation disposition per 100 events (pp),171817.0,"BBL FE, all lots with a BBL, clustered by BBL",,,,,,,,,,,,,,,2020-01..2026-05
agency,16.27584948195498,0.4469342786676099,36.416650632563176,0.0,15.399849750712765,17.1518492131972,lpm_pooled_ecb_withinbbl,linked ECB citation per 100 events (pp),171817.0,"BBL FE, all lots with a BBL, clustered by BBL; includes citations issued before receipt",,,,,,,,,,,,,,,2020-01..2026-05
agency,25.356986171621056,3.0416384659411966,8.336620691629324,2.220446049250313e-16,19.39104890195589,31.32292344128622,lpm_cat__04,violation disposition per 100 events (pp),13400.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,30.544715346422468,3.2477216429757103,9.404967144424363,0.0,24.17456195433239,36.914868738512546,lpm_cat_ecb__04,linked ECB citation per 100 events (pp),13400.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,5.816902841653924,1.318254997126069,4.412577880861721,1.1057748980913829e-05,3.2307682869861,8.403037396321748,lpm_cat__23,violation disposition per 100 events (pp),16513.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,6.490572173465793,1.3318270153937615,4.873434836840896,1.231416062896784e-06,3.877812219694471,9.103332127237115,lpm_cat_ecb__23,linked ECB citation per 100 events (pp),16513.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,32.86296717128638,0.923870316085566,35.570974193138504,0.0,31.051085951334386,34.67484839123837,lpm_cat__30,violation disposition per 100 events (pp),21069.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,-1.9690849985993064,0.9341162525384604,-2.107965676914751,0.03516172672135642,-3.801060402244178,-0.13710959495443453,lpm_cat_ecb__30,linked ECB citation per 100 events (pp),21069.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,18.44004085340961,0.9079185760581188,20.310236335806838,0.0,16.659525460238015,20.220556246581204,lpm_cat__45,violation disposition per 100 events (pp),74989.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,9.797437150927726,0.7596166744504057,12.897870044804272,0.0,8.307756008329115,11.287118293526337,lpm_cat_ecb__45,linked ECB citation per 100 events (pp),74989.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,11.186753159519393,1.2845867347891462,8.708445180508267,0.0,8.667354863041659,13.706151455997126,lpm_cat__58,violation disposition per 100 events (pp),21262.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,10.066743322228817,1.261977168437019,7.976961528310894,2.6645352591003757e-15,7.5916880828674245,12.541798561590209,lpm_cat_ecb__58,linked ECB citation per 100 events (pp),21262.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,32.999574650432756,1.1079741628330055,29.78370413083944,0.0,30.826592886568214,35.1725564142973,lpm_cat__59,violation disposition per 100 events (pp),14666.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,26.9950080531608,1.0862651525022797,24.851214264745682,0.0,24.864602447786808,29.12541365853479,lpm_cat_ecb__59,linked ECB citation per 100 events (pp),14666.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,65.14860980823208,18.807690352212106,3.463934623985847,0.0009885213970841633,27.527627759583588,102.76959185688057,lpm_cat__67,violation disposition per 100 events (pp),168.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
agency,64.31832655887601,20.21109898425654,3.182327027786903,0.002315009583008232,23.89010928015302,104.746543837599,lpm_cat_ecb__67,linked ECB citation per 100 events (pp),168.0,all records (includes same-day documentation),,,,,,,,,,,,,,,2020-01..2026-05
