decile,n_jobs,job_months,events,median_cost,rate_per_100,conv_n_jobs,conv_job_months,conv_events,conv_rate_per_100
1,48513,526499.1540041068,3433,0.0,0.6520428330969782,74,646.0451745379877,0,0.0
2,48513,597613.5359342915,5227,1000.0,0.8746455168269006,296,3438.817248459959,9,0.2617178916393583
3,48512,563523.613963039,6250,5000.0,1.109092830386684,37,437.388090349076,1,0.22862991061368587
4,48513,546192.0,5520,9000.0,1.0106336233412427,48,547.3511293634497,5,0.9134903961584634
5,48512,514833.24845995894,3608,15000.0,0.700809438938288,43,508.15605749486656,3,0.5903698196159565
6,48513,494937.9219712526,3509,25200.0,0.7089778019078143,53,471.65503080082135,0,0.0
7,48512,485473.34702258726,3547,42000.0,0.7306271336529153,75,823.5564681724846,9,1.0928212390792675
8,48513,523594.84188911703,4058,70660.0,0.7750267335252651,60,668.3860369609856,2,0.29922827369248917
9,48512,585682.3326488707,6111,146752.35,1.043398384984865,123,1714.9897330595481,24,1.399425287356322
10,48513,709578.8747433265,14956,509800.0,2.1077290393418187,378,5065.232032854209,341,6.732169381149748
