word,z,n_large,n_small
illegal conversion,-25.125480075981407,162,3989
permit posted,-22.816097647096704,1186,7957
family home,-22.21720845957342,19,6929
next door,-21.304783903168513,338,3743
second floor,-20.542897524259814,192,2928
people living,-19.866626206189643,365,3591
illegally converted,-19.695905934747877,71,2487
first floor,-19.398461851908586,330,3339
neighboring property,-16.72155619298766,98,1831
back yard,-16.52565071113976,47,1767
property owner,-16.192486570962807,64,1657
curb cut,-15.33445122477911,20,1950
doing construction,-14.770293881527362,521,3447
family house,-14.75671314153211,5,4202
illegal construction,-13.950959011779863,171,1730
private house,-13.139412455928033,18,1296
two family,-12.940391975326216,4,3167
illegal basement,-12.697095307246865,5,2620
vacate order,-12.618827718604443,43,1011
property line,-12.474480046340206,22,1050
front yard,-12.187069807878647,15,1131
gas line,-11.95277732078362,74,1031
illegal driveway,-11.837771179288035,7,1641
residential property,-11.71776548444822,52,913
living space,-11.129475875048545,29,783
one family,-11.117400730155776,7,1325
heavy duty,-10.957608915658996,17,810
staten island,-10.79891657242184,15,809
construction work,-10.716753396274813,918,4472
front door,-10.650888973775748,116,1086
family living,-10.478252237532729,15,748
electrical work,-10.273466185463803,134,1133
day night,-10.03164565274653,22,637
illegal gas,-10.026769291803523,19,643
residential space,-9.859420277264698,66,773
vacant building,-9.481564862502363,14,593
neighbor doing,-9.35132263814818,24,556
stop work order effect,-9.17816651581162,67,716
building next,-9.171812543611834,116,946
gas stove,-8.837032090544495,16,496
plumbing work,-8.771522655714378,142,1030
tenant living,-8.7078720079113,41,555
doing illegal,-8.669184877901536,47,579
third floor,-8.531491159707926,70,676
doing work,-8.523484258300817,255,1502
illegal curb,-8.435348090474907,5,661
private home,-8.417926555388958,8,515
running illegal,-8.378821324208744,29,476
smell horrible,-8.366251279303642,4,746
retaining wall,-8.261470198086807,37,500
sliding door,-8.165318209967477,5,595
license plate,-8.10551776528328,30,457
basement floor,-8.020537095470113,13,409
people coming,-7.992669017185656,44,511
living inside,-7.906695015926819,24,417
block lot,-7.87361848198474,25,418
family building,-7.744446184807515,11,385
single room,-7.6867626107264835,13,374
door neighbor,-7.6354639259259125,18,375
rear yard,-7.614458419842238,7,411
construction going,-7.535809244703321,502,2402
conversion basement,-7.519996145858932,3,635
residential home,-7.499270474509739,5,456
commercial space,-7.44952803292467,86,668
certificate occupancy,-7.432209338129689,217,1240
illegal occupancy,-7.422384987350195,16,352
neighbor property,-7.386817631799605,11,347
adjacent property,-7.333322775741549,19,353
little house,-7.321907048462363,2,772
illegal business,-7.309212316832215,38,433
extremely hot,-7.291998027634468,16,341
hpd inspector,-7.268569981543386,24,367
family dwelling,-7.24502374766087,4,464
can see,-7.202226835369135,124,821
parking space,-7.164126547832244,63,541
demolition work,-7.113912494958506,76,598
single family,-7.1045104754972845,5,388
original use,-7.10248334403186,12,319
gas piping,-7.091206424615993,32,390
home owner,-7.048840635238038,3,510
one living,-7.0069087207327465,10,312
gain access,-6.995110234292974,78,599
work done,-6.955952090511696,206,1153
renting room,-6.789923431577182,23,329
illegal room,-6.771657444605088,11,290
feet high,-6.750023819523133,22,322
business inside,-6.700165371882994,11,284
front house,-6.699197071133799,7,296
commercial vehicle,-6.651236898247754,13,283
back house,-6.635056292026036,4,353
water line,-6.631424154798593,14,284
drain pipe,-6.569004261288999,22,310
national grid,-6.473995549579409,17,283
many year,-6.470544396731579,46,416
parking sign,-6.448481664260281,15,274
new owner,-6.424774636628986,11,262
chemical smell,-6.414488279282302,18,283
property next,-6.390161173293915,6,273
car parked,-6.386687026985268,8,260
abandoned building,-6.375555212313966,15,269
