word,z,n_large,n_small
illegal conversion,-16.413659237081372,86,3599
family home,-16.369058416648592,7,6726
next door,-14.830320268660648,96,3129
permit posted,-14.510629931047704,444,6353
second floor,-13.364636243003634,76,2526
illegally converted,-13.127745387766746,37,2252
people living,-12.226032885339427,180,3228
family house,-11.893785148272649,2,4096
first floor,-11.110806207999428,160,2777
neighboring property,-10.982461246560122,22,1593
back yard,-10.911329719315404,21,1578
curb cut,-10.77030129454807,11,1785
property owner,-10.734168163806102,21,1522
illegal basement,-10.592616561625718,4,2551
two family,-10.038027363283074,1,3075
doing construction,-9.29824367452195,200,2778
private house,-9.186354222304253,9,1249
illegal driveway,-8.896393876528418,4,1571
front yard,-8.738332355951387,9,1097
illegal construction,-8.239333505172024,74,1392
certificate occupancy,-8.071639539643591,25,901
vacate order,-7.704234114564709,21,808
gas line,-7.666547442734893,32,894
residential property,-7.653387106796289,24,822
one family,-7.5274071391354305,2,1294
heavy duty,-7.5054322340327975,7,798
property line,-7.34249129467838,4,912
living space,-7.327609965302617,19,731
staten island,-7.321608463986276,6,782
family living,-7.260584675793838,9,702
front door,-6.977230373916072,47,939
day night,-6.908174704856523,10,625
illegal gas,-6.474888591137526,7,560
short term,-6.4697033447576615,47,872
building next,-6.452335096551805,31,713
neighbor doing,-6.295634465748616,8,520
http www,-6.262927665618093,16,550
smell horrible,-6.1727811274469175,2,745
stop work order effect,-6.1293495954739985,24,605
illegal curb,-6.088952338346871,3,606
strong heat,-6.081510479533693,0,1280
sliding door,-6.045283141836528,3,594
private home,-5.991170121225496,5,495
residential space,-5.957512571482036,25,594
exhausted fan,-5.9298777012139885,0,1217
term rental,-5.7038779847155965,29,604
vacant building,-5.698680830916319,3,505
gas stove,-5.549355682688551,3,470
parking space,-5.539785030307626,18,479
residential home,-5.48884120122911,4,420
basement floor,-5.435558584620108,5,394
airbnb com,-5.383245741366174,8,382
www airbnb,-5.336876530394284,8,376
tenant living,-5.283368727305409,22,490
living inside,-5.271354865374618,9,373
backyard fencing,-5.2608803740051195,0,958
retaining wall,-5.240148870688296,20,466
conversion basement,-5.207974228663216,1,610
license plate,-5.185721559157169,18,441
running illegal,-5.181831948219495,20,460
electrical work,-5.168511277048766,48,730
door neighbor,-5.152384174629474,8,353
family building,-5.135806325573745,8,351
single room,-5.114318943915628,7,344
construction going,-5.064426385943445,181,1887
converted basement,-5.062446277674203,2,425
many year,-4.989969489512898,14,383
basement illegally,-4.931146598535241,2,395
people coming,-4.905291765248009,23,462
block lot,-4.867323395224142,2,381
illegal occupancy,-4.8327280907979295,4,311
com room,-4.820615194999646,7,309
rear yard,-4.783890784225034,4,304
hpd inspector,-4.76001813185938,10,324
little house,-4.71938031167867,0,771
