word,z,n_large,n_small
basement,-71.97981855605464,854,32114
property,-63.795674387746836,1235,24744
illegal,-62.79877287921658,1863,26206
house,-61.784146361068785,434,26696
home,-55.66938784153659,736,18628
family,-53.5533632444731,380,18955
permit,-52.66137573334633,5504,36784
converted,-42.13148817813695,356,10786
owner,-41.63042051386648,891,11869
living,-39.41957431880437,1584,14123
neighbor,-38.285368586718626,765,10092
illegally,-35.102823685714576,587,8258
front,-33.24855270063702,1106,9965
driveway,-32.96250787587238,90,9138
yard,-31.10880321948508,179,5946
fence,-31.045959482925202,401,6238
backyard,-30.795202842437966,94,7155
conversion,-30.10108476100017,241,5489
room,-28.006882476146966,1801,11506
back,-27.193206821749737,1384,9511
construction,-26.912476966262847,8754,37766
built,-25.143992649208865,322,4328
posted,-24.733626059718098,2207,12286
cellar,-24.59437968457586,129,3669
stop work order,-24.480461800156462,586,5348
garage,-24.313407135328905,840,6445
cut,-24.167897464439534,157,3543
gas,-23.78188144815751,578,5160
landlord,-23.47763216623842,1201,7818
rented,-23.3529095782198,178,3373
space,-23.05205825137316,976,6759
car,-23.020542519583906,502,4657
renting,-22.82245971096424,274,3603
kitchen,-22.758168527791817,544,4792
doing,-22.297058157374043,2136,11360
next,-22.18088565245684,888,6191
vehicle,-21.873530792501633,289,3470
deck,-21.732056913647398,104,2861
strong,-21.724846750481632,187,3024
curb,-21.704162160936026,51,3403
neighboring,-20.08757702782927,303,3190
horrible,-19.755523813391648,53,2576
private,-19.64003609447718,248,2864
rear,-19.436326836778658,125,2342
commercial,-19.182048960601197,538,4081
roof,-18.006180631239175,1380,7362
vacant,-17.96112110071447,117,2031
line,-17.885735475293814,499,3686
added,-17.410501070615233,99,1876
used,-17.17914911476646,976,5574
extension,-17.13359540269508,62,1783
first,-16.8145787746233,798,4777
occupancy,-16.541011148275004,351,2818
demolition,-16.514486065315225,446,3233
parked,-16.35919701091234,155,1913
work,-16.109571773709767,7751,29903
occupied,-15.911681085635976,577,3702
business,-15.860509325924081,829,4740
second,-15.77217278048501,731,4323
structure,-15.7364962674295,369,2778
dwelling,-15.735180363621364,100,1594
feet,-15.695038145240622,338,2635
legal,-15.580098345991262,183,1923
brooklyn,-15.578433874106086,426,3004
stove,-15.385958447666198,113,1591
wall,-15.306228418801593,2101,9557
fencing,-15.118960515199081,52,1384
electrical,-15.056262169931829,587,3611
bathroom,-14.905456297892862,719,4133
gate,-14.61527845460025,198,1859
made,-14.61118620684464,787,4362
store,-14.429492921446318,303,2304
created,-14.388842577087726,127,1511
done,-14.271824761037363,4135,16662
vacate,-14.10883144077619,63,1227
truck,-13.911181959594776,265,2068
plate,-13.82766003415278,119,1403
gutter,-13.565169082490398,20,1328
underground,-13.524682666640176,24,1222
abandoned,-13.513157928475174,76,1184
full,-13.306508739899456,263,1983
block,-13.23896630973791,620,3476
meter,-13.146120728733912,52,1059
exhausted,-12.954190505084448,16,1297
altered,-12.932424010480995,75,1105
see,-12.886634276785102,907,4561
rent,-12.853391972453078,471,2812
grease,-12.828726759260862,39,996
residence,-12.722128387309413,277,1973
drainage,-12.70659928800905,108,1218
dob,-12.695846822187107,1296,6017
neighbor',-12.660969022341542,27,1002
drain,-12.600599351417314,236,1779
zoning,-12.59638835387491,116,1241
shared,-12.554458657324192,53,980
foundation,-12.538088570034764,191,1572
fan,-12.380385259744294,168,1451
neighborhood,-12.380335932194859,162,1424
damage,-12.344775214283471,391,2413
parking,-12.28676517977057,855,4265
place,-12.220212739219464,1416,6381
shop,-12.074764459814638,73,994
attached,-12.072986126799828,300,1995
bedroom,-12.039369350869316,1119,5236
van,-11.962067896289465,28,875
turned,-11.948566151701483,306,2006
additional,-11.924620453023385,125,1207
oven,-11.811530587810832,40,851
duty,-11.616391149926358,45,838
separate,-11.487373759731419,106,1075
class,-11.45416876342012,56,856
removed,-11.41173128383264,499,2738
rental,-11.406742286664288,370,2211
effect,-11.396751765626734,183,1411
wire,-11.395251412244123,341,2089
converting,-11.385375755986122,49,823
park,-11.03466364075906,409,2327
staten,-11.031535705144362,15,832
permission,-11.005523309159605,86,936
door,-10.969785051745864,3105,12180
island,-10.944042157232568,82,912
adding,-10.921304309095502,45,757
pool,-10.863152755949768,108,1021
porch,-10.835736398830468,15,792
party,-10.78660720435975,107,1009
queen,-10.769849444455145,116,1048
unoccupied,-10.739401624123783,42,727
little,-10.596441780525529,138,1130
encroaching,-10.595513734252942,37,696
digging,-10.595185856154856,106,986
nonstop,-10.584858473224646,11,852
tree,-10.567992089180663,180,1313
residential,-10.49202772793417,1971,8074
factory,-10.451652385470972,15,719
rain,-10.437307526886741,302,1819
constructed,-10.42856942041048,134,1096
height,-10.375999540089001,64,777
thebasement,-10.367050228264661,16,691
appear,-10.32561492795222,356,2029
electric,-10.298891338343816,193,1343
flooding,-10.239505677873652,105,948
extended,-10.226939199867962,67,776
dumpster,-10.165618729696726,54,714
interior,-10.132298977819074,136,1077
inside,-10.130523468930997,1345,5754
single,-10.125395138355955,159,1178
divided,-10.027382831125697,33,623
plumbing,-9.976379751270853,570,2837
