word,z,n_large,n_small
basement,-49.34989166198735,409,29855
illegal,-43.16007108645702,677,23036
property,-42.88550656763301,399,21950
house,-42.642724015921004,196,25775
home,-38.511237002710125,323,17734
family,-36.39832090848767,155,18195
permit,-33.35840890923452,2110,28402
owner,-28.767916683198035,288,10217
converted,-28.6005439908378,173,9836
living,-26.211640075418728,739,12687
neighbor,-25.160548619303043,412,9316
illegally,-23.787767900963146,241,7289
driveway,-22.862079928022638,43,8663
front,-22.373672786091504,454,8504
fence,-21.67286302841489,130,5660
yard,-20.800947885863792,73,5366
backyard,-20.371518340028913,37,6559
construction,-20.245875429285636,3234,29920
conversion,-20.152209975206194,124,4937
garage,-18.270862493849794,326,5884
room,-17.59452619599891,836,10045
posted,-17.382761840815668,815,9797
space,-17.379267242425946,244,4871
built,-17.08353761448457,118,3720
next,-16.988952424632256,282,5090
car,-16.45754192066426,208,4273
back,-16.405325609452266,648,8079
kitchen,-16.34072889314717,206,4221
cut,-16.20456777127853,75,3175
rented,-16.039433722559373,75,3116
cellar,-15.980312199819162,35,3339
stop work order,-15.898523919975045,246,4450
renting,-15.570504262215909,124,3290
strong,-15.480945784752063,69,2900
gas,-15.467613717772426,253,4392
vehicle,-15.400672279370712,119,3200
neighboring,-14.737592302682586,76,2693
deck,-14.63658083137484,32,2734
curb,-14.243172248573165,19,3124
private,-14.013379801466163,100,2662
landlord,-13.974630155314955,549,6522
horrible,-13.626613790498865,22,2558
violation,-13.573518839670735,213,3545
occupancy,-13.440262515374096,54,2194
doing,-13.291130471955277,896,9107
line,-12.675514910503349,195,3174
demolition,-12.528835865336154,122,2491
feet,-12.318943103740894,86,2130
rear,-12.206438848930537,60,1899
vacant,-12.205874896041239,35,1791
dob,-12.15588330842056,406,4859
commercial,-12.117208597881538,92,2136
second,-11.83838637203143,276,3691
block,-11.820481898756215,195,2985
added,-11.633617709277196,32,1627
legal,-11.487038605122384,54,1688
parked,-11.228102899225735,71,1766
used,-11.210422057127541,360,4255
parking,-11.201611873800998,307,3812
