word,z,n_strict,n_lenient
violating condition,-32.9243842615999,1347,2492
violation warranted,-29.650759512161578,1537,2452
warranted time,-22.60257371303231,249,787
construction work,-21.95612099258553,404,916
fully rescinded,-20.60596356520745,104,571
civil penalty,-20.55083794338472,76,569
observed site,-20.119032083400718,179,606
condition observed,-19.610780761737274,1241,1591
work progress,-17.954746301324708,313,657
compliance inspection,-17.87067598510073,36,476
violation filed,-17.65147401992301,34,470
inspection performed,-16.83269060379314,41,394
full rescind,-16.15039048597453,167,443
rescind swo,-15.922934227836805,8,950
work activity,-15.845169868539667,118,383
activity observed,-15.754388833579311,607,856
penalty paid,-15.272308106047904,38,318
swo fully,-15.218513480842896,20,389
site closed,-14.986853893316491,305,545
work observed,-14.629638346696861,271,500
site compliance,-14.62404009682804,55,289
borough commissioner,-13.989935349327851,61,271
action taken,-13.44062509799836,254,447
upon inspection,-13.300498275472876,102,289
letter dated,-13.236422346017996,4,859
inspection construction,-13.151974244977179,234,419
swo rescinded,-12.87109846622806,10,352
condition corrected,-12.81011954401403,111,285
site atoi,-12.80995249775131,7,468
construction activity,-12.69680882204322,2018,1853
plumbing work,-12.659042954411518,141,312
condition found,-12.573762354963973,74,241
inspection action,-12.006020350475112,133,287
non essential,-11.888226701928705,25,191
dob jurisdiction,-11.81796589405071,26,188
corrected rescind,-11.549113409586823,24,180
full swo,-11.35653222289356,42,180
time insp,-11.318423065880818,11,216
work permit,-11.306227944896182,151,288
work completed,-11.28167847769465,86,221
swo exist,-11.22905201693362,18,176
condition noted,-10.875473163162779,54,179
permit required,-10.769497965624693,109,233
job permitted,-10.75207721055717,25,155
lift swo,-10.511404097633637,15,156
essential site,-10.478411556167856,9,190
supported scaffold,-10.474799508974366,168,285
activity time,-10.09480049598807,144,253
vacate order,-10.062996711095845,477,548
provided approved,-9.919264922303686,45,149
activity work,-9.912330197534104,5,240
worker site,-9.849587766677724,121,225
rescind vacate,-9.627910498657737,14,128
full lift,-9.595859773634151,14,127
work time,-9.571700181550343,38,135
violation corrected,-9.495352678546197,18,121
rescission letter,-9.38729892501767,0,927
nan construction,-9.379564785928231,18,118
permit posted,-9.334354429866293,222,309
plan site,-9.262694513936363,98,190
boro commissioner,-9.25572344028896,5,187
job site,-9.254841519306607,566,596
swo per,-9.147260321996828,3,280
daily log,-9.056130762713243,18,110
building upon,-9.014097748398868,18,109
order posted,-8.97271940357968,13,110
work substantially,-8.923250898275386,12,110
substantially conform,-8.827029294763644,13,106
permit active,-8.803228678619925,45,127
approved plan,-8.773993661193275,375,427
parking lot,-8.748482526518377,79,161
site story,-8.678981285786772,7,122
building action,-8.647610610728439,10,106
plan provided,-8.628138564558055,23,103
renovation work,-8.601119510445798,25,104
swo rescind,-8.587189999385975,5,144
active swo,-8.4979006775035,5,139
site work,-8.477315882375956,32,108
hour work,-8.450908590255027,54,130
exist property,-8.401242131196566,17,95
governor order,-8.386725839281304,5,133
permit valid,-8.300719889320458,28,101
site inspected,-8.280092415086102,2,276
illuminated sign,-8.27387948937305,16,92
site close,-8.268871299888428,10,95
observed proposed,-8.247959862790657,12,92
interior renovation,-8.118256795150813,46,116
warranted see,-8.071642506916678,6,106
activity job,-8.054320397677213,14,87
job signed,-8.049098972947494,23,92
dob record,-8.03039000087026,389,419
job application,-7.993536292178889,12,86
conform dob,-7.990002285550096,4,132
permit issued,-7.98898233638935,306,350
action required,-7.903033589535412,73,140
objection rescind,-7.789647522337754,3,152
inspection job,-7.781332246666249,29,93
story alteration,-7.765603476817607,18,83
posted front,-7.665148594061472,76,139
issued expire,-7.658954126454381,29,91
swo lifted,-7.6301438418116705,6,90
issued ecb,-7.596403255306994,30,91
observed exterior,-7.543510024539019,60,121
person site,-7.534350143533564,28,88
covid safety,-7.515288460991105,8,79
going construction,-7.397429907459418,22,80
taken notification,-7.39735131062576,2,180
violation posted,-7.376613795841473,12,73
observed closed,-7.3758087884988885,11,73
approved detail,-7.3434624360218095,27,84
nan site,-7.32479710842982,12,72
sign observed,-7.3021156970396035,5,86
inspection egress,-7.215891486953219,10,70
swo lift,-7.179368273685585,1,284
property profile,-7.147194560454311,3,111
new applicant,-7.114243995753844,2,155
see permit,-7.092961069754219,5,79
applicant record,-7.065836212838129,2,151
failure post,-7.064893724703237,19,72
observed going,-7.054741123863991,12,67
observed work,-6.9929349002791055,167,211
found time,-6.97256159938513,13,66
permit permit,-6.900601937809721,47,98
site safe,-6.900601937809721,47,98
necessary construction,-6.837456478641014,6,67
front entrance,-6.831399545595611,47,97
rescinded per,-6.801606120027185,0,487
objection full,-6.794123296212541,2,130
swo issued,-6.777063979738686,38,87
work conforming,-6.7673440988891445,8,62
okay rescind,-6.737331266472125,1,229
site site,-6.718031222561965,33,81
resume work,-6.715456906217866,7,62
alteration building,-6.686425462002734,10,60
warranting violation,-6.661857515549431,4,73
upon research,-6.579207478968904,12,59
according dob,-6.52493925462894,3,81
detail design,-6.522535276218703,19,64
illegal conversion,-6.509861849707238,29,74
rescind badge,-6.499732200668869,15,60
inspection ongoing,-6.499732200668869,15,60
job permit,-6.488765375315963,84,128
inspected inspector,-6.48497018449191,2,109
certificate occupancy,-6.482469675303081,177,210
dated rescind,-6.464827295302985,0,440
permitted continue,-6.407797586819944,1,192
design drawing,-6.407722856857428,56,100
appointment inspection,-6.402914530362128,9,55
active construction,-6.385006182892646,374,366
inspection evidence,-6.372346234824558,17,60
light observed,-6.369760093341933,7,55
application permit,-6.342049873268884,8,54
excessive debri,-6.336949884576085,39,82
provided full,-6.301839397415862,18,60
structural defect,-6.2946285319372945,25,67
site open,-6.2690262264085765,3,71
job completed,-6.266596000208296,13,55
noted action,-6.241593359452698,3,70
defect observed,-6.227436012378315,20,61
condition reported,-6.214419423878576,2,93
observed property,-6.19377421730264,34,75
rescind issued,-6.192743077406306,4,59
noted time,-6.191689411689315,35,76
installed construction,-6.166409723913876,8,51
inspection found,-6.157005775664497,3,67
activity taking,-6.142367756732648,24,64
construction progress,-6.13389435570735,27,67
rescind stop work order,-6.128217190853902,29,69
inspection violating,-6.1245580237654815,59,99
inspection gained,-6.111149691282905,75,114
civil matter,-6.105610750685623,8,50
superseded new,-6.103253871832479,1,161
posted permit,-6.089654078479234,11,51
conforming plan,-6.070762121090511,16,55
observed installed,-6.068645914482619,22,61
osha card,-6.043613162073215,8,49
construction observed,-6.0413456040796865,75,113
needle beam,-6.037484432958894,12,51
activity noted,-6.020171093822574,5,51
hazardou condition,-6.0076219403873665,322,317
time appointment,-5.995160072947634,17,55
appear completed,-5.986233478242368,23,61
electrical wire,-5.961692244028831,32,70
