word,z,n_strict,n_lenient
swo,-33.351507466490496,281,1573
rescind,-30.378152971434062,418,1461
site,-20.63336633701857,2525,2870
per,-19.188138262086916,324,756
lift,-18.78641078622925,73,500
rescinded,-17.71592294583412,201,563
civil,-17.150698492179938,75,420
provided,-17.078619920997475,786,1132
penalty,-15.789035029592712,79,366
letter,-15.582775241235185,87,365
work,-15.087016365841714,3068,2939
paid,-14.824260456951807,76,328
record,-13.914993354995222,126,350
compliance,-13.806094452754788,366,598
full,-13.74972419953654,377,607
job,-13.66011694589745,921,1105
inspected,-13.560950180029495,29,267
insp,-12.70225976177473,21,244
taken,-12.61155552093439,357,550
dated,-12.346991675572033,22,225
notification,-12.273108817159368,34,214
completed,-12.171167872722407,224,404
objection,-11.917946908403257,8,336
okay,-11.743233760415412,13,235
violating,-11.570066225175944,1290,1323
essential,-11.494324658197128,31,188
lifted,-10.67272673724947,63,194
order,-10.662619823250399,140,277
rescission,-9.844314096032095,8,177
license,-9.532942941470134,39,143
admin,-9.505883039013764,5,217
close,-9.483948381899742,35,138
covid,-9.346357912191381,35,135
non,-9.164864894700138,72,171
dob,-9.110956038471716,338,429
hazardou,-8.892261046257817,91,186
superseded,-8.803963087931434,7,135
lot,-8.534624046312226,151,240
filed,-8.436335947028708,145,232
ssp,-8.218817627964095,51,130
ins,-8.18542558070554,5,130
lmp,-8.061934085178803,6,112
commissioner,-8.01442074907895,7,103
sst,-7.703462992853268,17,86
verified,-7.688390327488535,20,88
training,-7.558723019885639,15,82
related,-7.495361593805426,57,124
jurisdiction,-7.491813158635692,46,112
laa,-7.470973732297417,27,91
hour,-7.222253850132138,170,231
notice,-7.218336631230915,29,89
passed,-7.117571185548729,4,95
renewed,-7.052006371316434,19,76
plan,-7.048303729169599,546,547
substantially,-7.0312444789917805,39,97
plumbing,-7.025717239847163,232,283
mask,-6.964633490139904,11,69
applicant,-6.9259276375382886,3,105
ohp,-6.912277530430466,11,68
approved,-6.902235967844319,426,445
matter,-6.9009805374512325,15,70
comply,-6.830972247775672,29,83
amended,-6.640347547267026,82,136
application,-6.640284794637548,83,137
requirement,-6.566538314994934,52,104
upon,-6.504821319281827,157,205
performed,-6.499780287903928,244,282
borough,-6.4719329186893715,6,62
expo,-6.458185062761328,69,120
app,-6.439199481459571,4,70
alt,-6.391933662770358,22,69
corrected,-6.278119489874575,774,702
rail,-6.19209388885651,14,58
till,-6.144506055878181,2,94
found,-6.032662180122782,223,254
design,-6.027906231801959,47,91
invoice,-5.986120072375323,3,65
daily,-5.976878928117424,13,54
closed,-5.912068872999784,540,509
bis,-5.9003349779382,18,58
appl,-5.83206473740628,3,60
removed,-5.6388827611552275,254,272
log,-5.520806644224009,95,131
inspecting,-5.500113914103448,1,113
vio,-5.442576323013046,41,77
conforming,-5.381507129137102,36,71
vacate,-5.362285782532473,158,185
fswo,-5.351818977709206,16,49
governor,-5.350821111675617,1,102
reported,-5.287908021565779,24,57
based,-5.258866117886944,28,61
detail,-5.20257227590043,63,96
badge,-5.1808294750902,79,111
parking,-5.178566129506496,197,215
office,-5.129504152953639,22,53
fully,-5.1222570667619,367,352
card,-5.120545512914688,40,72
wire,-5.109745803258436,79,110
supported,-4.914485100403544,138,160
business,-4.902438133394017,29,58
activity,-4.895323717112796,2285,1744
bldg,-4.879633224631695,89,116
noted,-4.861606095471269,253,255
recommend,-4.795453356284249,33,61
see,-4.758183394754179,192,203
social,-4.5784898189095795,21,46
audit,-4.52926882224351,30,55
pswo,-4.456534328429014,80,102
conform,-4.435258573037682,146,159
