word,z,n_strict,n_lenient
swo,-51.50849120490316,475,3661
rescind,-47.39490902265408,413,3098
site,-38.49946260674152,3605,5207
letter,-32.42341866539047,133,1562
violating,-32.052171843480146,1407,2568
rescinded,-29.25757773294882,198,1182
per,-27.76242732077441,1448,2316
warranted,-27.67588264422553,1695,2546
provided,-27.60505299609269,1067,1931
work,-27.412743600194293,6444,6548
compliance,-25.873110028590318,642,1394
job,-25.461288696883166,1450,2171
dated,-25.264346635773517,73,983
lift,-24.404761854535508,83,864
filed,-22.268892237331272,477,1035
civil,-22.22751398688618,90,687
penalty,-20.69421229144044,97,592
construction,-20.113572946622806,5192,4886
application,-19.72826906774864,149,578
paid,-19.448444407268312,77,523
completed,-19.435545951310612,374,800
objection,-19.040124522270037,55,517
sign,-18.519287202584355,845,1224
activity,-18.41385882319552,2397,2556
inspected,-17.159763959509338,55,409
performed,-16.98538063127881,318,645
approved,-16.73876157448623,821,1121
rescission,-16.360238260420157,10,1010
insp,-16.33739365874823,32,405
borough,-16.124685396498258,64,361
full,-16.023240186417144,818,1087
progress,-15.894355217980305,618,898
notification,-15.681783235846005,98,369
fully,-15.534933913402236,530,801
plan,-15.53478578847951,1059,1278
taken,-15.329124301390637,388,656
upon,-15.025588117694113,403,660
closed,-14.95863059599076,655,895
lifted,-14.609473836092697,91,326
time,-14.486179331833583,11083,8600
inspection,-14.485455346483308,11587,8951
posted,-14.440243210737775,919,1108
jurisdiction,-14.302615972994728,42,283
okay,-13.960284673226756,12,438
essential,-13.671542122998346,33,261
atoi,-13.471907469474433,877,1031
business,-13.094442148923084,89,278
see,-12.862207696775924,250,439
continue,-12.792751872546326,42,228
office,-12.466946998265373,94,266
verified,-12.379734659689355,26,215
covid,-12.281397054413128,53,220
plumbing,-12.12389877451197,430,588
substantially,-12.120284978973192,36,204
admin,-11.868358623862688,9,307
lmp,-11.8620155314303,36,196
noted,-11.76436400769266,521,658
exist,-11.64694094374588,150,304
license,-11.601620071485574,113,264
amended,-11.573000086041358,93,242
hour,-11.57025816882619,202,355
record,-11.550277179788,809,897
conform,-11.348876568639154,332,474
training,-11.3076074965897,67,208
matter,-10.990065228914661,20,170
received,-10.84574568189441,20,165
bis,-10.776138800381995,59,187
corrected,-10.671678533931944,1120,1114
sst,-10.63470422513701,65,190
nan,-10.489614373335142,530,624
violation,-10.445320535197844,7765,5876
tpp,-10.258258472350539,87,205
boro,-10.098561618796591,7,210
superseded,-10.02292211495988,6,232
dob,-9.94796150832235,1507,1382
applicant,-9.886844430196483,7,195
evidence,-9.85617976223436,238,346
recommend,-9.752725562099243,30,136
app,-9.736926343546536,58,163
drawing,-9.716946540271334,305,404
close,-9.692380985084599,113,220
renovation,-9.628778401246018,147,253
wire,-9.622228415071026,186,291
done,-9.620130450995278,355,446
laa,-9.57581972490432,42,143
based,-9.27202618079036,32,127
till,-9.218459434081154,11,126
related,-9.183774814501605,99,195
lot,-9.157013473165268,334,415
vacate,-9.116530236003559,930,902
ins,-8.98913471345892,5,181
reported,-8.987495630865737,39,128
governor,-8.880628104048107,7,137
permitted,-8.852456997143475,469,522
given,-8.811861101411743,81,169
illuminated,-8.811861101411743,81,169
renewed,-8.806622255895737,49,135
list,-8.752408864012931,16,106
currently,-8.674999996865079,126,212
passed,-8.628182006412034,6,137
needed,-8.537831704563132,137,220
found,-8.437119719292008,578,599
active,-8.430755347521169,2019,1688
alt,-8.419439733976187,67,147
detail,-8.363992282170448,101,181
scaffold,-8.32349135288337,838,801
dismiss,-8.256738685161656,6,119
reference,-8.079190089641273,34,106
card,-8.044577898240824,92,166
pending,-7.873906613976243,20,89
property,-7.685442152333124,1631,1369
signed,-7.623267675960196,344,384
get,-7.556599694480068,30,93
insurance,-7.539906401490454,14,79
ohp,-7.505446512098111,17,80
facing,-7.497596897045024,29,91
mask,-7.490551373636577,21,83
design,-7.465314766552495,118,181
appl,-7.359328920333127,19,79
bright,-7.311591697029132,11,74
warranting,-7.2768374710207695,5,89
location,-7.197800784225119,503,502
space,-7.195313063841837,279,319
resume,-7.173886790861863,47,105
notice,-7.160811577643515,174,227
osha,-7.14901777795095,16,73
inspecting,-7.129895332642663,2,181
secured,-7.117699298041083,155,209
contractor,-7.0798454329083444,158,211
non,-7.044803121207343,313,344
profile,-7.02045255154359,3,112
ssp,-6.956541649815067,131,184
pop,-6.899151550023927,3,105
going,-6.809026536132623,175,221
issue,-6.803171677103089,134,184
advertising,-6.797025932979683,41,93
complied,-6.797025932979683,41,93
stop work order,-6.783432340293883,866,768
expire,-6.764888252347762,588,556
condition,-6.714369347256534,5857,4243
awning,-6.705744200153535,125,174
conducted,-6.694469621168636,86,137
seen,-6.6512174338844385,43,93
noise,-6.557261972225636,103,151
recommendation,-6.546883971303935,3,87
log,-6.540142838656599,250,280
store,-6.3495456059855275,184,220
warranty,-6.318813765450904,3,77
interior,-6.281970800999699,360,364
current,-6.276091757185235,52,97
supported,-6.1819899822098066,338,344
suspended,-6.176181399526512,113,154
according,-6.154560401666266,76,119
pswo,-6.132477085963805,183,215
appear,-6.124934769130227,182,214
commercial,-6.021050743540162,344,345
error,-5.995951203514154,66,107
research,-5.9504066253855274,34,74
hpd,-5.889637723537357,30,69
clean,-5.8379201869446655,51,90
variance,-5.796805595455558,33,71
daily,-5.769268944382629,96,132
conversion,-5.686822182584309,52,89
reflect,-5.622644770250035,37,73
dbc,-5.611123377047246,1,145
back,-5.595232681166855,189,210
