boroct2020,boroname,ntaname
1000100,Manhattan,The Battery-Governors Island-Ellis Island-Liberty Island
1000201,Manhattan,Chinatown-Two Bridges
1000202,Manhattan,Lower East Side
1000500,Manhattan,The Battery-Governors Island-Ellis Island-Liberty Island
1000600,Manhattan,Chinatown-Two Bridges
1000700,Manhattan,Financial District-Battery Park City
1000800,Manhattan,Chinatown-Two Bridges
1000900,Manhattan,Financial District-Battery Park City
1001001,Manhattan,Lower East Side
1001002,Manhattan,Lower East Side
1001200,Manhattan,Lower East Side
1001300,Manhattan,Financial District-Battery Park City
1001401,Manhattan,Lower East Side
1001402,Manhattan,Lower East Side
1001501,Manhattan,Financial District-Battery Park City
1001502,Manhattan,Financial District-Battery Park City
1001600,Manhattan,Chinatown-Two Bridges
1001800,Manhattan,Lower East Side
1002000,Manhattan,East Village
1002100,Manhattan,Tribeca-Civic Center
1002201,Manhattan,Lower East Side
1002202,Manhattan,East Village
1002400,Manhattan,East Village
1002500,Manhattan,Chinatown-Two Bridges
1002601,Manhattan,East Village
1002602,Manhattan,East Village
1002700,Manhattan,Chinatown-Two Bridges
1002800,Manhattan,East Village
1002901,Manhattan,Tribeca-Civic Center
1002902,Manhattan,Chinatown-Two Bridges
1003001,Manhattan,Lower East Side
1003002,Manhattan,East Village
1003100,Manhattan,Tribeca-Civic Center
1003200,Manhattan,East Village
1003300,Manhattan,Tribeca-Civic Center
1003400,Manhattan,East Village
1003601,Manhattan,Lower East Side
1003602,Manhattan,East Village
1003700,Manhattan,SoHo-Little Italy-Hudson Square
1003800,Manhattan,East Village
1003900,Manhattan,Tribeca-Civic Center
1004001,Manhattan,East Village
1004002,Manhattan,East Village
1004100,Manhattan,SoHo-Little Italy-Hudson Square
1004200,Manhattan,East Village
1004300,Manhattan,SoHo-Little Italy-Hudson Square
1004400,Manhattan,Stuyvesant Town-Peter Cooper Village
1004500,Manhattan,SoHo-Little Italy-Hudson Square
1004700,Manhattan,SoHo-Little Italy-Hudson Square
1004800,Manhattan,Gramercy
1004900,Manhattan,SoHo-Little Italy-Hudson Square
1005000,Manhattan,Gramercy
1005200,Manhattan,Midtown South-Flatiron-Union Square
1005400,Manhattan,Midtown South-Flatiron-Union Square
1005501,Manhattan,Greenwich Village
1005502,Manhattan,Greenwich Village
1005600,Manhattan,Midtown South-Flatiron-Union Square
1005700,Manhattan,Greenwich Village
1005800,Manhattan,Midtown South-Flatiron-Union Square
1005900,Manhattan,Greenwich Village
1006000,Manhattan,Stuyvesant Town-Peter Cooper Village
1006100,Manhattan,Greenwich Village
1006200,Manhattan,Murray Hill-Kips Bay
1006300,Manhattan,Greenwich Village
1006400,Manhattan,Gramercy
1006500,Manhattan,Greenwich Village
1006600,Manhattan,Murray Hill-Kips Bay
1006700,Manhattan,West Village
1006800,Manhattan,Gramercy
1006900,Manhattan,West Village
1007001,Manhattan,Murray Hill-Kips Bay
1007002,Manhattan,Murray Hill-Kips Bay
1007100,Manhattan,West Village
1007200,Manhattan,Murray Hill-Kips Bay
1007300,Manhattan,West Village
1007400,Manhattan,Midtown South-Flatiron-Union Square
1007500,Manhattan,West Village
1007600,Manhattan,Midtown South-Flatiron-Union Square
1007700,Manhattan,West Village
1007800,Manhattan,Murray Hill-Kips Bay
1007900,Manhattan,West Village
1008000,Manhattan,Murray Hill-Kips Bay
