Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%,contrast,outcome,arms_length
event_t::-4:treat,-0.013269883167154266,0.006098206463628372,-2.1760304847499077,0.029559774093240065,-0.025222569471689063,-0.0013171968626194703,W->A vs W->W,n_comp,False
event_t::-3:treat,-0.008640910872239149,0.006176206091805185,-1.3990645298744522,0.16180266451732916,-0.020746479027040635,0.0034646572825623376,W->A vs W->W,n_comp,False
event_t::-2:treat,-0.003647733526948159,0.005937013146665153,-0.6144054993371721,0.538951472955109,-0.015284475600414326,0.007989008546518008,W->A vs W->W,n_comp,False
event_t::0:treat,0.14310494723800865,0.015276187121250503,9.36784461345968,0.0,0.11316311537667124,0.17304677909934607,W->A vs W->W,n_comp,False
event_t::1:treat,0.123968167040728,0.011691550390882122,10.603227364730595,0.0,0.10105234169611871,0.14688399238533728,W->A vs W->W,n_comp,False
event_t::2:treat,0.05570392777117531,0.010699105372256549,5.206409866344441,1.9363647663084294e-07,0.03473332747804316,0.07667452806430747,W->A vs W->W,n_comp,False
event_t::3:treat,0.026223130380394085,0.008407296047485273,3.119092063879177,0.0018155929410059723,0.009744552141972763,0.04270170861881541,W->A vs W->W,n_comp,False
event_t::4:treat,0.028413068369551178,0.008386168057903065,3.388087166077587,0.0007046090297122554,0.011975901689303198,0.04485023504979915,W->A vs W->W,n_comp,False
C(event_t)[T.-3],0.01216254564383562,23.781377698845123,0.0005114314989592155,0.9995919396914354,-46.60012406998981,46.624449161277475,W->A vs W->W,n_comp,False
C(event_t)[T.-2],0.02725647756210852,47.56276820000829,0.0005730633138822178,0.999542764983071,-93.19734184667185,93.25185480179606,W->A vs W->W,n_comp,False
C(event_t)[T.-1],0.04486123112409631,71.34422848798333,0.0006287997231850701,0.999498294094386,-139.79218558616893,139.8819080484171,W->A vs W->W,n_comp,False
C(event_t)[T.0],0.09599720618719572,95.12587014801613,0.0010091598220108135,0.9991948129568615,-186.3538535993951,186.54584801176952,W->A vs W->W,n_comp,False
C(event_t)[T.1],0.13083099810144594,118.9096046709151,0.0011002559336020295,0.9991221293454453,-232.9359258761879,233.1975878723908,W->A vs W->W,n_comp,False
C(event_t)[T.2],0.1262989407229233,142.690262419095,0.0008851265572136323,0.9992937764189866,-279.55133342209126,279.80393130353707,W->A vs W->W,n_comp,False
C(event_t)[T.3],0.13157929431643967,166.4718176851866,0.0007903998174950436,0.9993693568453452,-326.1586877218057,326.4218463104386,W->A vs W->W,n_comp,False
C(event_t)[T.4],0.14000797821108604,190.25158165046403,0.0007359096675911633,0.999412833365505,-372.75938268239423,373.0393986388164,W->A vs W->W,n_comp,False
event_t::-4:treat,-0.0013902688721030632,0.0024483034780939167,-0.5678498946484496,0.5701406092843975,-0.006189024641770198,0.0034084868975640713,W->A vs W->W,n_conv,False
event_t::-3:treat,-0.002033227672781667,0.0024822438691690903,-0.8191087499643105,0.41273005423252584,-0.006898507731187529,0.0028320523856241943,W->A vs W->W,n_conv,False
event_t::-2:treat,-0.001640915314005263,0.002548243785171098,-0.6439396903680024,0.5196188433472604,-0.0066355573900474165,0.00335372676203689,W->A vs W->W,n_conv,False
event_t::0:treat,0.025279393084759072,0.003814334599329628,6.627471299765349,3.4653169223020086e-11,0.017803171149958597,0.03275561501955954,W->A vs W->W,n_conv,False
event_t::1:treat,0.034661821403943506,0.0038483405084303707,9.006952822394888,0.0,0.027118946762907853,0.04220469604497916,W->A vs W->W,n_conv,False
event_t::2:treat,0.018707912225020815,0.004249067934570648,4.402827281910986,1.0717149389494196e-05,0.01037959857878813,0.027036225871253497,W->A vs W->W,n_conv,False
event_t::3:treat,0.012674858964584628,0.0034328684824647677,3.6922063951265027,0.00022266099476042633,0.005946323231930515,0.019403394697238743,W->A vs W->W,n_conv,False
event_t::4:treat,0.013783735431031317,0.003341408218870487,4.125127649231288,3.714009834254739e-05,0.007234464839135009,0.020333006022927626,W->A vs W->W,n_conv,False
C(event_t)[T.-3],0.038493356697710646,6.0029930397332505,0.006412360707888001,0.9948837487011537,-11.72757148879223,11.804558202187652,W->A vs W->W,n_conv,False
C(event_t)[T.-2],0.07681367559878663,12.006061078341416,0.006397908114706851,0.9948952798816237,-23.455463015655752,23.609090366853323,W->A vs W->W,n_conv,False
C(event_t)[T.-1],0.11613975256664998,18.009093664722847,0.006448950442972629,0.9948545551326231,-35.182279296915866,35.41455880204917,W->A vs W->W,n_conv,False
C(event_t)[T.0],0.1565354478212125,24.01212628083194,0.00651901651650772,0.9947986520764793,-46.90802601815648,47.2210969137989,W->A vs W->W,n_conv,False
C(event_t)[T.1],0.19411053110886436,30.015184947589642,0.006467077629133594,0.9948400921375522,-58.63664441149664,59.024865473714364,W->A vs W->W,n_conv,False
C(event_t)[T.2],0.23211662602180516,36.01826661021114,0.0064444141228051305,0.9948581744908864,-70.3648768658649,70.82911011790851,W->A vs W->W,n_conv,False
C(event_t)[T.3],0.26844189481628133,42.021278452811416,0.006388237214575306,0.9949029959296669,-82.09465329680145,82.63153708643401,W->A vs W->W,n_conv,False
C(event_t)[T.4],0.30718351612527,48.024304015274645,0.006396417864329007,0.9948964688964059,-93.82204026660852,94.43640729885905,W->A vs W->W,n_conv,False
event_t::-4:treat,-0.004664092630143512,0.004056034032440393,-1.149914569956719,0.25018706686798,-0.012614053445578402,0.0032858681852913785,W->A vs W->W,n_ecb,False
event_t::-3:treat,5.1233799171471007e-05,0.00408859106959592,0.012530917937101128,0.9900021084889079,-0.007962539885579352,0.008065007483922295,W->A vs W->W,n_ecb,False
event_t::-2:treat,0.008752535848557964,0.004002809345332726,2.186598234753153,0.028778590341969945,0.0009068971797163931,0.016598174517399533,W->A vs W->W,n_ecb,False
event_t::0:treat,0.027399284100690688,0.005023468204784661,5.454256498447411,4.95169938385942e-08,0.017553120319468027,0.03724544788191335,W->A vs W->W,n_ecb,False
event_t::1:treat,0.03393182140805369,0.0066044738343025225,5.137702451301652,2.796371350033411e-07,0.02098683431738098,0.0468768084987264,W->A vs W->W,n_ecb,False
event_t::2:treat,0.02632227585511844,0.006747352313886912,3.9011266391031394,9.592836358351953e-05,0.013097242220215579,0.039547309490021304,W->A vs W->W,n_ecb,False
event_t::3:treat,0.012624164404529343,0.005003778797342579,2.5229261555754263,0.011642760870341773,0.002816592512918983,0.022431736296139704,W->A vs W->W,n_ecb,False
event_t::4:treat,0.012447680755148198,0.0054197318510164905,2.2967336940873913,0.021639954995902544,0.0018248271249429408,0.023070534385353454,W->A vs W->W,n_ecb,False
C(event_t)[T.-3],0.030179730105211147,13.07848937326027,0.002307585321506271,0.9981588283365741,-25.604091878790303,25.664451339000724,W->A vs W->W,n_ecb,False
C(event_t)[T.-2],0.06153837982914708,26.156940393121708,0.0023526597111231465,0.9981228645364575,-51.206929664032025,51.330006423690314,W->A vs W->W,n_ecb,False
C(event_t)[T.-1],0.09533564728441223,39.235317780823515,0.0024298426182496236,0.9980612821108963,-76.8071845100749,76.99785580464373,W->A vs W->W,n_ecb,False
C(event_t)[T.0],0.13527684359952694,52.31387034828529,0.002585869535152085,0.9979367919407081,-102.40163878537976,102.67219247257881,W->A vs W->W,n_ecb,False
C(event_t)[T.1],0.18588468689011092,65.39273813295884,0.0028425891344718364,0.9977319615821558,-127.98604424986682,128.35781362364705,W->A vs W->W,n_ecb,False
C(event_t)[T.2],0.20807139930969126,78.471228354833,0.002651562918944371,0.9978843767653416,-153.59813080965404,154.0142736082734,W->A vs W->W,n_ecb,False
C(event_t)[T.3],0.23331158691145057,91.54942272992338,0.002548476876798389,0.9979666266499905,-179.20658402478074,179.67320719860362,W->A vs W->W,n_ecb,False
C(event_t)[T.4],0.2616418849540894,104.62768161780502,0.002500694662334604,0.9980047509421555,-204.81207357667057,205.33535734657875,W->A vs W->W,n_ecb,False
event_t::-4:treat,-0.0005112247243079045,0.001895376651930708,-0.26972196992463215,0.7873757777860952,-0.0042262256322941815,0.003203776183678373,W->A vs W->W,n_viol,False
event_t::-3:treat,-0.0008450674081916526,0.002009520785717072,-0.4205318074826984,0.6740996295498638,-0.004783794592549278,0.0030936597761659725,W->A vs W->W,n_viol,False
event_t::-2:treat,0.002511095859090842,0.0019640534330281974,1.2785272624783985,0.20107221867358072,-0.0013385138106288131,0.006360705528810497,W->A vs W->W,n_viol,False
event_t::0:treat,0.00834824046046464,0.002396862852629965,3.4829862923965416,0.0004964706693939558,0.003650310017579546,0.013046170903349735,W->A vs W->W,n_viol,False
event_t::1:treat,0.011887869906674802,0.002717983552050275,4.373782872124941,1.2247093515549423e-05,0.006560532275142301,0.0172152075382073,W->A vs W->W,n_viol,False
event_t::2:treat,0.008994728065241264,0.0028935209384120457,3.108575419598498,0.0018814521119490113,0.00332333135233555,0.014666124778146978,W->A vs W->W,n_viol,False
event_t::3:treat,0.004254650576122129,0.0025054304189904178,1.698171517306225,0.08948445373670788,-0.0006560758865915822,0.00916537703883584,W->A vs W->W,n_viol,False
event_t::4:treat,0.0036376634259046906,0.002715818111137054,1.3394355870105308,0.18043777474072797,-0.001685429869838081,0.008960756721647463,W->A vs W->W,n_viol,False
C(event_t)[T.-3],0.03916919760510687,6.261204105373113,0.006255857011831549,0.9950086171697721,-12.232997874229692,12.311336269439906,W->A vs W->W,n_viol,False
C(event_t)[T.-2],0.07634749780222579,12.522485108421913,0.006096832788475731,0.995135496798432,-24.468137367854325,24.620832363458774,W->A vs W->W,n_viol,False
C(event_t)[T.-1],0.11571507483308088,18.78377882994034,0.006160372515068014,0.9950848007527584,-36.70111251326622,36.932542662932384,W->A vs W->W,n_viol,False
C(event_t)[T.0],0.1591624125621667,25.045093425962897,0.006355033692833888,0.9949294877763941,-48.93004881269819,49.248373637822525,W->A vs W->W,n_viol,False
